Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	5434	71.00	71.70	70.10	71.50	416371
1994-06-24	5469	24.10	24.25	23.70	23.90	2517604
1994-06-24	5471	29.20	29.50	29.20	29.20	42016
1994-06-24	5484	4.86	4.90	4.78	4.89	88206
1994-06-24	5515	9.98	10.00	9.91	9.92	156001
1994-06-24	5519	12.80	12.90	12.70	12.75	922038
1994-06-24	5521	8.45	8.45	8.23	8.25	728310
1994-06-24	5522	34.75	34.80	34.15	34.15	475087
1994-06-24	5525	21.00	21.00	20.70	20.80	125466
1994-06-24	5531	10.35	10.35	10.25	10.25	325123
1994-06-24	5533	16.00	16.15	15.85	16.00	125000
1994-06-24	5534	78.00	78.00	76.00	76.00	518485
1994-06-24	5538	36.80	36.80	36.65	36.70	9000
1994-06-24	5607	18.85	18.85	18.35	18.45	185005
1994-06-24	5608	7.37	7.69	7.37	7.58	1363440
1994-06-24	5706	35.75	36.10	35.50	35.60	34000
1994-06-24	5871	98.00	98.40	97.30	98.00	3717243
1994-06-24	5876	39.50	39.95	39.50	39.80	6568535
1994-06-24	5880	17.70	17.75	17.50	17.55	11762045
1994-06-24	5906	11.00	11.00	10.85	10.95	7000
1994-06-24	5907	33.70	34.00	33.15	33.25	1288000
1994-06-24	6005	9.09	9.10	9.00	9.02	1838390
1994-06-24	6024	42.20	42.30	41.95	42.10	167760
1994-06-24	6108	28.15	28.15	27.05	27.20	1103211
1994-06-24	6112	29.45	29.45	29.15	29.30	53924
1994-06-24	6115	41.00	41.00	40.15	40.30	114422
1994-06-24	6116	7.06	7.08	7.03	7.06	8815902
1994-06-24	6117	12.75	12.75	12.65	12.65	3000
1994-06-24	6120	16.90	17.70	16.90	17.50	5696623
1994-06-24	6128	28.40	28.40	28.15	28.20	39000
1994-06-24	6133	8.71	8.75	8.65	8.75	22173
1994-06-24	6136	18.50	18.60	18.35	18.40	103015
1994-06-24	6139	26.15	26.35	26.15	26.15	82368
1994-06-24	6141	16.85	16.95	16.30	16.35	602054
1994-06-24	6142	8.74	8.74	8.60	8.68	874007
1994-06-24	6152	4.40	4.51	4.40	4.40	172582
1994-06-24	6153	28.70	29.35	28.55	29.20	4966051
1994-06-24	6155	21.50	21.70	21.15	21.30	316300
1994-06-24	6164	8.82	8.83	8.68	8.70	63006
1994-06-24	6165	8.98	9.03	8.89	8.90	102034
1994-06-24	6166	32.40	32.70	32.05	32.05	145000
1994-06-24	6168	12.60	12.60	12.50	12.55	136290
1994-06-24	6172	14.60	15.05	14.60	15.00	55000
1994-06-24	6176	83.00	83.30	78.70	79.20	11502316
1994-06-24	6177	26.70	26.80	26.50	26.70	96149
1994-06-24	6183	32.50	32.50	32.30	32.50	27000
1994-06-24	6184	34.00	34.00	33.90	33.95	20277
1994-06-24	6189	28.60	28.60	28.25	28.45	148176
1994-06-24	6191	13.05	13.15	12.90	12.90	874037
1994-06-24	6192	65.80	66.10	65.20	66.10	112131
1994-06-24	6196	51.00	51.60	50.60	50.90	247112
1994-06-24	6197	28.00	28.00	27.50	27.60	114580
1994-06-24	6201	29.60	29.75	29.40	29.40	9000
1994-06-24	6202	59.20	59.40	58.40	58.50	920972
1994-06-24	6205	22.40	22.40	22.10	22.10	19015
1994-06-24	6206	70.00	70.00	69.50	69.80	47942
1994-06-24	6209	29.45	29.55	28.65	28.85	1027010
1994-06-24	6213	51.30	51.60	50.00	50.40	4918471
1994-06-24	6214	61.80	62.10	61.50	61.80	149441
1994-06-24	6215	14.60	15.60	14.45	15.60	3035367
1994-06-24	6216	27.70	27.80	27.65	27.80	21336
1994-06-24	6224	55.80	55.90	55.00	55.00	74160
1994-06-24	6225	3.45	3.45	3.45	3.45	2050
1994-06-24	6226	9.02	9.07	8.59	8.66	729000
1994-06-24	6230	102.50	112.50	101.50	112.50	1001979
1994-06-24	6235	18.15	18.35	18.00	18.20	2729507
1994-06-24	6239	66.50	66.90	65.30	65.60	3465738
1994-06-24	6243	10.60	10.75	10.60	10.70	36008
1994-06-24	6251	9.16	9.22	9.01	9.20	392265
1994-06-24	6257	28.15	28.30	28.05	28.15	658501
1994-06-24	6269	77.00	78.10	76.50	77.60	1220817
1994-06-24	6271	104.50	108.50	103.50	105.50	7038708
1994-06-24	6277	84.00	84.00	83.10	83.10	41475
1994-06-24	6278	36.70	37.60	35.95	36.10	6084761
1994-06-24	6281	63.10	63.10	62.90	62.90	3000
1994-06-24	6282	19.90	20.00	19.45	19.50	2654187
1994-06-24	6283	37.30	38.00	36.80	36.85	903000
1994-06-24	6285	78.80	79.70	78.10	78.60	3093185
1994-06-24	6288	19.50	19.75	19.00	19.00	2950400
1994-06-24	6289	1.08	1.12	1.08	1.12	76000
1994-06-24	6405	14.65	14.65	14.00	14.35	113000
1994-06-24	6409	537.00	537.00	521.00	529.00	204521
1994-06-24	6412	42.80	42.80	42.25	42.30	179000
1994-06-24	6414	251.00	255.50	249.00	252.50	345060
1994-06-24	6415	477.50	528.00	477.50	491.00	682630
1994-06-24	6416	99.80	102.50	99.10	100.00	1177948
1994-06-24	6431	15.45	15.45	15.35	15.40	262000
1994-06-24	6442	37.95	37.95	37.15	37.90	106000
1994-06-24	6443	6.65	6.65	6.40	6.42	1435996
1994-06-24	6449	30.00	30.00	29.50	29.70	253403
1994-06-24	6451	79.30	80.40	74.20	76.40	2668414
1994-06-24	6452	167.00	169.00	164.50	165.00	1590135
1994-06-24	6456	94.70	96.10	93.70	96.10	3101840
1994-06-24	6464	116.00	116.50	115.00	116.00	29037
1994-06-24	6477	20.15	20.20	20.00	20.10	99999
1994-06-24	6504	172.00	172.00	167.00	168.00	53100
1994-06-24	6505	111.50	112.00	110.50	110.50	1466699
1994-06-24	6525	73.20	73.50	71.70	72.00	1038862
1994-06-24	6531	46.25	46.70	45.40	45.50	100099
1994-06-24	6533	76.70	78.30	75.00	76.80	431200
1994-06-24	6541	64.00	64.20	62.60	62.60	181896
1994-06-24	6552	108.00	112.00	105.50	112.00	1957120
1994-06-24	6558	44.00	44.50	40.55	42.50	4272893
1994-06-24	6573	23.35	23.55	23.00	23.45	57000
1994-06-24	6579	74.20	74.60	74.10	74.10	33000
1994-06-24	6581	86.10	86.90	85.90	86.00	12001
1994-06-24	6582	48.80	48.80	48.25	48.25	5000
1994-06-24	6591	41.35	41.80	41.00	41.70	55300
1994-06-24	6605	69.00	70.20	69.00	69.80	87000
1994-06-24	6625	57.00	59.50	56.60	57.00	239210
1994-06-24	6641	64.20	64.50	63.00	63.90	67400
1994-06-24	6655	56.50	57.30	56.50	57.30	60000
1994-06-24	6666	200.50	201.00	183.00	185.00	1159648
1994-06-24	6668	98.00	98.00	91.90	97.40	3576896
1994-06-24	6670	170.00	176.50	162.50	163.00	8059150
1994-06-24	6671	44.35	44.70	43.50	44.00	195000
1994-06-24	6674	44.00	46.25	42.10	43.30	650100
1994-06-24	8011	18.50	18.60	18.05	18.30	1125010
1994-06-24	8016	115.00	115.50	108.50	109.00	2918547
