契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202211W5,15500,Put,-,-,-,-,980,-,-,0,0,0,1,965,1060,715,660
TXO,202211W5,15600,Call,0.5,0.6,0.2,0.3,0.3,▼-1.1,▼-78.57%,163,617,780,1234,0.2,0.5,26.5,0.2
TXO,202211W5,15600,Put,-,-,-,-,1080,-,-,0,0,0,0,1060,1160,-,-
TXO,202211W5,15700,Call,0.5,0.5,0.3,0.3,0.3,▼-0.7,▼-70.00%,3,477,480,441,0.2,0.4,23,0.3
TXO,202211W5,15700,Put,-,-,-,-,1180,-,-,0,0,0,0,1160,1260,-,-
TXO,202211W5,15800,Call,0.3,0.4,0.2,0.2,0.2,▼-0.5,▼-71.43%,233,149,382,526,-,0.4,12,0.2
TXO,202211W5,15800,Put,-,-,-,-,1280,-,-,0,0,0,0,1260,1360,-,-
TXO,202211W5,15900,Call,0.3,0.3,0.3,0.3,0.2,0,0%,0,1,1,156,-,0.3,9.9,0.3
TXO,202211W5,15900,Put,-,-,-,-,1380,-,-,0,0,0,0,1360,1460,-,-
TXO,202211W5,16000,Call,0.1,0.1,0.1,0.1,0.1,0,-,0,1,1,305,-,0.3,10,0.1
TXO,202211W5,16000,Put,-,-,-,-,1480,-,-,0,0,0,0,1460,1560,-,-
TXO,202211W5,16100,Call,-,-,-,-,0.1,-,-,2,0,2,218,-,0.3,18,0.1
TXO,202211W5,16100,Put,-,-,-,-,1580,-,-,0,0,0,0,1560,1660,-,-
TXO,202211W5,16200,Call,-,-,-,-,0.1,-,-,0,0,0,0,-,0.3,-,-
TXO,202211W5,16200,Put,-,-,-,-,1680,-,-,0,0,0,0,1660,1760,-,-
TXO,202211W5,16300,Call,0.1,0.1,0.1,0.1,0.1,0,-,0,1,1,2,-,0.3,0.1,0.1
TXO,202211W5,16300,Put,-,-,-,-,1780,-,-,0,0,0,0,1760,1860,-,-
TXO,202212W1,13000,Call,-,-,-,-,1520,-,-,0,0,0,0,1370,1530,-,-
TXO,202212W1,13000,Put,2.5,2.7,1.8,1.8,1.8,▲+0.3,▲+20.00%,0,19,19,199,1.7,2.5,3.5,1.2
TXO,202212W1,13100,Call,-,-,-,-,1420,-,-,0,0,0,0,1270,1430,-,-
TXO,202212W1,13100,Put,2.1,2.7,2.1,2.7,2.7,▲+0.9,▲+50.00%,0,8,8,99,2,4,3.5,2.1
TXO,202212W1,13200,Call,-,-,-,-,1320,-,-,0,0,0,0,1170,1330,-,-
TXO,202212W1,13200,Put,2.5,3.1,2.5,3.1,3.1,▲+1,▲+47.62%,1,3,4,27,-,76,5,1
TXO,202212W1,13300,Call,-,-,-,-,1220,-,-,0,0,0,0,1070,1230,-,-
TXO,202212W1,13300,Put,3.5,5,3.3,3.7,3.7,▲+1.1,▲+42.31%,1,267,268,213,2.5,5.5,6.2,1.2
TXO,202212W1,13400,Call,-,-,-,-,1130,-,-,0,0,0,0,1100,1130,-,-
TXO,202212W1,13400,Put,4.5,6.6,3.8,5.7,5.7,▲+2.4,▲+72.73%,1,90,91,138,5.5,6.5,6.6,1.5
TXO,202212W1,13500,Call,-,-,-,-,1030,-,-,0,0,0,0,1000,1030,-,-
TXO,202212W1,13500,Put,5.6,8.6,4.9,7.4,7.4,▲+3.2,▲+76.19%,46,193,239,122,3,8,9.1,1.7
TXO,202212W1,13600,Call,-,-,-,-,930,-,-,0,0,0,1,905,935,1050,1050
TXO,202212W1,13600,Put,6,11.5,6,9.9,9.9,▲+5.1,▲+106.25%,19,124,143,245,6,10,12.5,2.9
TXO,202212W1,13700,Call,-,-,-,-,835,-,-,0,0,0,0,675,960,1040,1020
TXO,202212W1,13700,Put,15,16,8.8,13.5,13.5,▲+7.2,▲+114.29%,104,476,580,311,10.5,14,17.5,3.5
TXO,202212W1,13800,Call,-,-,-,-,740,-,-,0,0,0,0,715,870,-,-
TXO,202212W1,13800,Put,11.5,23.5,11.5,18.5,18.5,▲+10.2,▲+122.89%,121,541,662,400,11,22.5,25,5.4
TXO,202212W1,13900,Call,690,690,690,690,645,▼-165,▼-19.30%,0,1,1,2,493,775,875,690
TXO,202212W1,13900,Put,22.5,31.5,15.5,26,26,▲+15,▲+136.36%,119,484,603,458,19,30,32,7.6
TXO,202212W1,14000,Call,615,635,520,635,555,▼-125,▼-16.45%,0,20,20,25,399,685,835,520
TXO,202212W1,14000,Put,24.5,43.5,24,36.5,36.5,▲+21.5,▲+143.33%,139,2066,2205,1607,36,38,43.5,10
TXO,202212W1,14100,Call,520,520,446,446,472,▼-219,▼-32.93%,0,13,13,13,318,600,520,446
TXO,202212W1,14100,Put,43,60,34,51,51,▲+28.5,▲+126.67%,108,1312,1420,1050,50,60,60,13.5
TXO,202212W1,14150,Call,469,471,418,418,431,▼-202,▼-32.58%,0,10,10,11,277,560,515,418
TXO,202212W1,14150,Put,54,69,41,60,60,▲+33.5,▲+126.42%,86,792,878,560,40.5,69,69,17.5
TXO,202212W1,14200,Call,388,449,388,449,390,▼-126,▼-21.91%,32,9,41,14,237,515,535,388
TXO,202212W1,14200,Put,60,82,33.5,69,69,▲+37.5,▲+119.05%,341,1273,1614,862,67,76,82,21
TXO,202212W1,14250,Call,364,364,360,360,350,▼-170,▼-32.08%,0,9,9,9,199,484,364,360
TXO,202212W1,14250,Put,133,133,57,79,79,▲+44,▲+125.71%,147,807,954,595,79,91,133,25.5
TXO,202212W1,14300,Call,388,388,307,330,317,▼-163,▼-33.06%,0,32,32,29,162,445,545,307
TXO,202212W1,14300,Put,70,111,68,96,96,▲+50,▲+108.70%,456,1594,2050,875,92,112,111,31
TXO,202212W1,14350,Call,355,355,250,329,283,▼-121,▼-26.89%,0,48,48,95,127,411,446,250
TXO,202212W1,14350,Put,71,126,71,112,112,▲+59,▲+111.32%,86,497,583,284,105,120,126,38.5
TXO,202212W1,14400,Call,250,294,234,245,245,▼-163,▼-39.95%,6,89,95,71,151,378,454,234
TXO,202212W1,14400,Put,70,147,70,127,127,▲+63,▲+98.44%,260,497,757,507,120,137,147,44.5
TXO,202212W1,14450,Call,268,268,205,244,217,▼-127,▼-34.23%,11,51,62,53,151,348,392,205
TXO,202212W1,14450,Put,92,170,92,146,146,▲+69,▲+89.61%,131,345,476,263,142,149,170,53
TXO,202212W1,14500,Call,186,238,167,178,178,▼-162,▼-47.65%,32,92,124,103,170,188,401,167
TXO,202212W1,14500,Put,130,196,124,170,170,▲+81,▲+91.01%,232,589,821,291,126,172,196,26
TXO,202212W1,14550,Call,180,209,141,150,150,▼-147,▼-49.49%,1,90,91,65,149,154,355,141
TXO,202212W1,14550,Put,160,206,148,190,190,▲+87,▲+84.47%,124,221,345,155,129,198,206,75
TXO,202212W1,14600,Call,180,183,119,129,129,▼-135,▼-51.14%,11,301,312,165,123,169,333,119
TXO,202212W1,14600,Put,194,241,165,210,210,▲+90,▲+75.00%,129,108,237,226,213,299,241,88
TXO,202212W1,14650,Call,140,155,100,114,114,▼-118,▼-50.86%,435,1035,1470,421,106,117,293,100
TXO,202212W1,14650,Put,228,269,182,246,246,▲+108,▲+78.26%,83,53,136,252,247,299,269,91
TXO,202212W1,14700,Call,102,133,85,89,89,▼-120,▼-57.42%,34,351,385,188,79,90,276,85
TXO,202212W1,14700,Put,366,366,223,277,277,▲+119,▲+75.32%,84,135,219,79,197,424,366,122
TXO,202212W1,14750,Call,90,113,45,74,74,▼-110,▼-59.78%,99,706,805,595,51,84,247,45
TXO,202212W1,14750,Put,290,295,246,246,303,▲+59,▲+31.55%,25,67,92,74,251,455,295,119
TXO,202212W1,14800,Call,70,91,56,58,58,▼-99,▼-63.06%,159,733,892,437,56,60,221,56
TXO,202212W1,14800,Put,288,359,288,347,347,▲+134,▲+62.91%,40,74,114,99,291,437,359,162
TXO,202212W1,14850,Call,72,77,46,47,47,▼-92,▼-66.19%,132,586,718,339,47.5,54,191,46
TXO,202212W1,14850,Put,345,350,320,350,377,▲+105,▲+42.86%,2,3,5,101,247,530,350,186
TXO,202212W1,14900,Call,58,64,37,38,38,▼-78,▼-67.24%,333,1299,1632,619,35.5,45,166,37
TXO,202212W1,14900,Put,365,427,365,427,427,▲+155,▲+56.99%,6,4,10,43,286,489,427,212
TXO,202212W1,14950,Call,54,54,29.5,30,30,▼-68,▼-69.39%,149,419,568,918,25,35,148,29.5
TXO,202212W1,14950,Put,-,-,-,-,459,-,-,2,0,2,26,327,610,368,289
TXO,202212W1,15000,Call,42,42.5,23.5,23.5,23.5,▼-60.5,▼-72.02%,539,1124,1663,1402,23,24,131,23.5
TXO,202212W1,15000,Put,-,-,-,-,500,-,-,0,0,0,43,371,660,428,274
TXO,202212W1,15050,Call,30,34.5,18,18,18,▼-52,▼-74.29%,257,577,834,505,2.8,20,93,18
TXO,202212W1,15050,Put,-,-,-,-,545,-,-,0,0,0,0,416,700,-,-
TXO,202212W1,15100,Call,40,40,1.7,14,14,▼-46,▼-76.67%,407,1147,1554,960,13,14.5,95,1.7
TXO,202212W1,15100,Put,-,-,-,-,595,-,-,2,0,2,1,590,750,485,342
TXO,202212W1,15150,Call,23,23,11.5,11.5,11.5,▼-38.5,▼-77.00%,82,611,693,410,10,11.5,66,11.5
TXO,202212W1,15150,Put,-,-,-,-,640,-,-,0,0,0,0,635,790,-,-
TXO,202212W1,15200,Call,26,26,8.5,8.5,8.5,▼-31.5,▼-78.75%,466,1003,1469,792,8.5,8.8,70,8.5
TXO,202212W1,15200,Put,-,-,-,-,685,-,-,0,0,0,0,555,710,-,-
TXO,202212W1,15300,Call,15,15,5.6,5.6,5.6,▼-21.9,▼-79.64%,236,587,823,632,5.1,6.1,48.5,5.6
TXO,202212W1,15300,Put,-,-,-,-,785,-,-,0,0,0,4,780,940,505,505
TXO,202212W1,15400,Call,7,7,3.4,3.4,3.4,▼-14.1,▼-80.57%,84,364,448,439,3.1,7.1,34,3.4
TXO,202212W1,15400,Put,-,-,-,-,880,-,-,0,0,0,0,875,905,-,-
TXO,202212W1,15500,Call,5,5,2.2,2.2,2.9,▼-9.8,▼-81.67%,212,368,580,543,2.1,7,24,2.2
TXO,202212W1,15500,Put,-,-,-,-,980,-,-,0,0,0,0,975,1130,-,-
TXO,202212W1,15600,Call,2.8,2.8,1.7,2.4,2.4,▼-5.7,▼-70.37%,45,234,279,325,1.5,2.5,17,1.7
TXO,202212W1,15600,Put,-,-,-,-,1080,-,-,0,0,0,0,1070,1230,-,-
TXO,202212W1,15700,Call,2.3,2.3,0.5,0.5,1,▼-5.3,▼-91.38%,1,211,212,261,-,1.6,11,0.5
TXO,202212W1,15700,Put,-,-,-,-,1180,-,-,0,0,0,0,1170,1330,-,-
TXO,202212W1,15800,Call,0.2,1.8,0.2,1,1,▼-2.6,▼-72.22%,69,119,188,267,0.7,1.2,12.5,0.2
TXO,202212W1,15800,Put,-,-,-,-,1280,-,-,0,0,0,1,1270,1430,1100,1060
