Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,MaxOIStrikePut,MaxOIPut,TotalOIPut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-10-27,發行量加權股價指數,17034.34,17079.6,16973.16,17074.55,,,,202111W1,17300.0,6082.0,35000.0,16700.0,6512.0,34098.0,0.0,-134026.0,-127384.0,0.03,-0.020000000000000004,,-0.01,0.02
2021-10-28,發行量加權股價指數,17074.55,17104.86,16994.37,17041.63,,,,202111W1,17400.0,15772.0,87602.0,16700.0,10788.0,81842.0,0.0,52602.0,47744.0,0.07,0.04000000000000001,,-0.02,0.02
2021-10-29,發行量加權股價指數,17041.63,17073.97,16920.68,16987.41,C > O,C < O,,202111W1,17300.0,16390.0,119198.0,16800.0,15610.0,109602.0,0.0,31596.0,27760.0,0.09,0.01999999999999999,0.0,-0.02,0.01
2021-11-01,發行量加權股價指數,16987.41,17119.43,16987.41,17068.24,C > O,C > O,Earned,202111W1,17300.0,22140.0,149084.0,16800.0,20972.0,143750.0,0.0,29886.0,34148.0,0.04,-0.049999999999999996,1.0,-0.01,0.02
2021-11-02,發行量加權股價指數,17068.24,17237.09,17026.63,17065.97,C < O,C < O,,202111W1,17200.0,26358.0,183364.0,17000.0,24856.0,157944.0,0.0,34280.0,14194.0,0.16,0.12,1.0,-0.01,0.0
2021-11-03,發行量加權股價指數,17065.97,17153.76,17065.97,17122.16,,,,202111,17600.0,23336.0,133008.0,16500.0,13948.0,102430.0,0.0,-50356.0,-55514.0,0.3,0.13999999999999999,,-0.03,0.04
2021-11-04,發行量加權股價指數,17122.16,17219.65,17061.46,17078.86,,,,202111W2,17400.0,14544.0,107484.0,16800.0,9886.0,75348.0,0.0,-25524.0,-27082.0,0.43,0.13,,-0.02,0.02
2021-11-05,發行量加權股價指數,17078.86,17296.9,17078.86,17296.9,,,,202111W2,17450.0,19030.0,128476.0,17000.0,20180.0,109862.0,0.0,20992.0,34514.0,0.17,-0.26,,-0.01,0.02
2021-11-08,發行量加權股價指數,17296.9,17415.3,17279.46,17415.3,C < O,C > O,,202111W2,17500.0,25674.0,141892.0,17100.0,19594.0,143058.0,0.0,13416.0,33196.0,-0.01,-0.18000000000000002,0.0,-0.0,0.02
2021-11-09,發行量加權股價指數,17415.3,17581.52,17415.3,17541.36,C < O,C > O,,202111W2,17600.0,33240.0,166448.0,17500.0,22582.0,168142.0,0.0,24556.0,25084.0,-0.01,0.0,0.0,-0.0,0.0
2021-11-10,發行量加權股價指數,17541.36,17575.44,17489.87,17559.65,,,,202111,18000.0,27272.0,162038.0,17000.0,15710.0,132378.0,0.0,-4410.0,-35764.0,0.22,0.23,,-0.02,0.03
2021-11-11,發行量加權股價指數,17559.65,17559.65,17403.48,17452.52,,,,202111,17600.0,35302.0,204350.0,17200.0,23592.0,165462.0,0.0,42312.0,33084.0,0.24,0.01999999999999999,,-0.01,0.01
2021-11-12,發行量加權股價指數,17452.52,17602.05,17452.52,17518.13,C > O,C > O,Earned,202111,17600.0,36732.0,223132.0,17300.0,25036.0,175534.0,0.0,18782.0,10072.0,0.27,0.030000000000000027,1.0,-0.0,0.01
2021-11-15,發行量加權股價指數,17518.13,17683.19,17518.13,17634.47,C > O,C > O,Earned,202111,17800.0,33680.0,233322.0,17500.0,28194.0,206666.0,0.0,10190.0,31132.0,0.13,-0.14,1.0,-0.01,0.01
2021-11-16,發行量加權股價指數,17634.47,17708.1,17629.8,17693.13,C < O,C > O,,202111,17800.0,43874.0,248852.0,17600.0,37508.0,252846.0,0.0,15530.0,46180.0,-0.02,-0.15,0.0,-0.01,0.01
2021-11-17,發行量加權股價指數,17693.13,17764.04,17669.58,17764.04,,,,202111W4,18000.0,7484.0,34124.0,17450.0,3964.0,31446.0,0.0,-214728.0,-221400.0,0.09,0.11,,-0.01,0.02
2021-11-18,發行量加權股價指數,17764.04,17841.37,17748.21,17841.37,,,,202111W4,18100.0,16084.0,91944.0,17500.0,13014.0,96152.0,0.0,57820.0,64706.0,-0.04,-0.13,,-0.01,0.02
2021-11-19,發行量加權股價指數,17841.37,17986.18,17786.05,17818.31,C < O,C < O,Earned,202111W4,18100.0,25556.0,153540.0,17650.0,16772.0,140216.0,0.0,61596.0,44064.0,0.1,0.14,1.0,-0.02,0.01
2021-11-22,發行量加權股價指數,17818.31,17857.73,17790.64,17803.54,C > O,C < O,,202111W4,18000.0,31960.0,186646.0,17700.0,21302.0,173482.0,0.0,33106.0,33266.0,0.08,-0.020000000000000004,0.0,-0.01,0.01
2021-11-23,發行量加權股價指數,17803.54,17803.54,17650.07,17666.12,C < O,C < O,Earned,202111W4,17800.0,32604.0,222288.0,17650.0,27282.0,182166.0,0.0,35642.0,8684.0,0.22,0.14,1.0,-0.01,0.0
2021-11-24,發行量加權股價指數,17666.12,17722.89,17588.78,17642.52,,,,202112W1,18000.0,4534.0,33916.0,17400.0,4178.0,31048.0,0.0,-188372.0,-151118.0,0.09,-0.13,,-0.02,0.01
2021-11-25,發行量加權股價指數,17642.52,17724.5,17609.51,17654.19,,,,202112W1,17900.0,12346.0,89930.0,17400.0,13702.0,92080.0,0.0,56014.0,61032.0,-0.02,-0.11,,-0.01,0.01
2021-11-26,發行量加權股價指數,17654.19,17654.19,17330.44,17369.39,C < O,C < O,Earned,202112W1,17700.0,21840.0,142124.0,17250.0,12428.0,104464.0,0.0,52194.0,12384.0,0.36,0.38,1.0,-0.02,0.01
2021-11-29,發行量加權股價指數,17369.39,17415.63,17167.24,17328.09,C > O,C < O,,202112W1,17600.0,24786.0,170706.0,17000.0,21168.0,135458.0,0.0,28582.0,30994.0,0.26,-0.09999999999999998,0.0,-0.02,0.02
2021-11-30,發行量加權股價指數,17328.09,17535.23,17328.09,17427.76,C < O,C > O,,202112W1,17600.0,37296.0,208810.0,17400.0,25952.0,167920.0,0.0,38104.0,32462.0,0.24,-0.020000000000000018,0.0,-0.01,0.0
2021-12-01,發行量加權股價指數,17427.76,17626.21,17374.59,17585.99,,,,202112,18000.0,25440.0,157540.0,16700.0,29384.0,141258.0,0.0,-51270.0,-26662.0,0.12,-0.12,,-0.02,0.05
2021-12-02,發行量加權股價指數,17585.99,17741.55,17559.44,17724.88,,,,202112W2,18000.0,12040.0,83106.0,17300.0,10258.0,77572.0,0.0,-74434.0,-63686.0,0.07,-0.04999999999999999,,-0.02,0.02
2021-12-03,發行量加權股價指數,17724.88,17781.14,17670.32,17697.14,,,,202112W2,18000.0,20600.0,107434.0,17400.0,12724.0,96182.0,0.0,24328.0,18610.0,0.12,0.04999999999999999,,-0.02,0.02
2021-12-06,發行量加權股價指數,17697.14,17763.42,17585.95,17688.21,C > O,C < O,Earned,202112W2,18000.0,26814.0,154442.0,17500.0,18046.0,129048.0,0.0,47008.0,32866.0,0.2,0.08000000000000002,0.0,-0.02,0.01
2021-12-07,發行量加權股價指數,17688.21,17796.92,17642.32,17796.92,C > O,C > O,Earned,202112W2,18000.0,38242.0,189026.0,17550.0,18726.0,151656.0,0.0,34584.0,22608.0,0.25,0.04999999999999999,1.0,-0.01,0.01
2021-12-08,發行量加權股價指數,17796.92,17988.88,17796.92,17832.42,,,,202112,18000.0,29168.0,180602.0,16700.0,29462.0,167736.0,0.0,-8424.0,16080.0,0.08,-0.16999999999999998,,-0.01,0.07
2021-12-09,發行量加權股價指數,17832.42,17925.12,17807.12,17914.12,,,,202112,18000.0,38346.0,208120.0,16700.0,30144.0,203060.0,0.0,27518.0,35324.0,0.02,-0.06,,-0.0,0.07
