Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-06-04,發行量加權股價指數,17246.16,17246.16,17084.49,17147.41,C < O,C < O,Earned,202106,18000.0,12174.0,90862.0,17725.11721071515,15800.0,32994.0,172342.0,15250.332478444025,0.0,5914.0,-636.0,-0.47,0.040000000000000036,1.0,-0.05,0.09
2021-06-07,發行量加權股價指數,17147.41,17189.23,16775.85,17083.91,,,,202106,17400.0,14768.0,105724.0,17733.00102152775,15800.0,32168.0,170858.0,15246.135387280667,0.0,14862.0,-1484.0,-0.38,0.08999999999999997,,-0.02,0.08
2021-06-08,發行量加權股價指數,17083.91,17181.52,17056.53,17076.21,,,,202106,17400.0,16978.0,112280.0,17721.996793729963,15800.0,31896.0,175644.0,15380.542460886794,0.0,6556.0,4786.0,-0.36,0.020000000000000018,,-0.02,0.08
2021-06-09,發行量加權股價指數,17076.21,17082.52,16907.43,16966.22,C > O,C < O,,202106,17500.0,19544.0,140780.0,17649.535445375765,15800.0,34408.0,185348.0,15494.977016207351,0.0,28500.0,9704.0,-0.24,0.12,0.0,-0.03,0.07
2021-06-10,發行量加權股價指數,16966.22,17159.22,16966.22,17159.22,C > O,C > O,Earned,202106,17500.0,26756.0,160402.0,17641.228912357703,15800.0,35182.0,224826.0,16114.498323147678,0.0,19622.0,39478.0,-0.29,-0.04999999999999999,1.0,-0.02,0.09
2021-06-11,發行量加權股價指數,17159.22,17278.55,17159.22,17213.52,C < O,C > O,,202106,17500.0,31134.0,167158.0,17521.095011904905,15800.0,34860.0,236340.0,16304.588304984345,0.0,6756.0,11514.0,-0.29,0.0,0.0,-0.02,0.09
2021-06-15,發行量加權股價指數,17213.52,17371.29,17213.52,17371.29,C < O,C > O,,202106,17500.0,42084.0,182282.0,17721.134835035824,15800.0,34736.0,225958.0,16513.083847440674,0.0,15124.0,-10382.0,-0.19,0.09999999999999998,0.0,-0.01,0.1
2021-06-16,發行量加權股價指數,17371.29,17398.22,17275.02,17307.86,,,,202107,17500.0,5482.0,35586.0,17958.43309166526,15200.0,7654.0,47672.0,16273.573586172177,0.0,-146696.0,-178286.0,-0.25,-0.06,,-0.01,0.14
2021-06-17,發行量加權股價指數,17307.86,17390.61,17150.52,17390.61,,,,202107,17500.0,9260.0,53544.0,18014.80651426864,16000.0,7756.0,54746.0,16355.324589924378,0.0,17958.0,7074.0,-0.02,0.23,,-0.01,0.09
2021-06-18,發行量加權股價指數,17390.61,17417.5,17318.54,17318.54,C > O,C < O,,202107,17500.0,9396.0,57534.0,18005.43678520527,16000.0,8854.0,58226.0,16373.568508913544,0.0,3990.0,3480.0,-0.01,0.01,0.0,-0.01,0.08
