代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日),平均帶寬
1446,0,0,0,0,0,0.0,,,
1447,1485,-6445,4,18,22,18.18,-0.023586363636363628,16.09090909090909,0.21150939185880954
1449,242,498,3,2,5,60.0,0.005959999999999993,16.4,0.18405559294322424
1451,972,-4452,1,7,8,12.5,-0.03565,15.5,0.2027085312510742
1452,800,1450,6,7,13,46.15,0.019192307692307693,19.384615384615383,0.22786432874801002
1453,53,-303,0,1,1,0.0,-0.0645,7.0,0.20084495712226724
1454,467,-687,3,5,8,37.5,-0.004512500000000001,12.0,0.20389491849617797
1455,1357,2093,11,9,20,55.0,0.023455,17.15,0.24221460758919627
1456,0,0,0,0,0,0.0,,,
1457,329,141,3,3,6,50.0,0.010700000000000001,19.0,0.29328845047341956
1459,1291,-3861,3,16,19,15.79,-0.01962105263157895,17.57894736842105,0.2386046099636957
1460,427,-1827,2,5,7,28.57,-0.03471428571428571,18.0,0.20416692021637045
1463,653,8207,8,2,10,80.0,0.12321,29.5,0.2661517737533667
1464,687,-2337,4,7,11,36.36,-0.02040909090909091,16.09090909090909,0.2604896131404322
1465,1157,-4407,2,12,14,14.29,-0.024299999999999995,18.714285714285715,0.17765216089725447
1466,0,0,0,0,0,0.0,,,
1467,1540,-1580,9,13,22,40.91,-0.012795454545454544,13.090909090909092,0.19513674067072448
1468,376,64,2,3,5,40.0,-0.0008200000000000019,22.8,0.16093021935152368
1470,0,0,0,0,0,0.0,,,
1471,1819,-49,6,15,21,28.57,0.0023333333333333374,22.333333333333332,0.3178804744896447
1472,631,-171,3,7,10,30.0,-0.007790000000000001,21.6,0.215415065615705
1473,1529,4571,5,3,8,62.5,0.025037499999999997,23.875,0.16311886941659087
1474,318,-798,2,3,5,40.0,-0.033839999999999995,21.6,0.3626760203314915
1475,259,-959,1,1,2,50.0,-0.02015,23.5,0.16689476524900382
1476,24947,-48297,8,7,15,53.33,0.013086666666666665,24.133333333333333,0.20095089320860463
1477,6494,18706,5,6,11,45.45,0.009681818181818182,20.545454545454547,0.19847926332163732
1503,1282,10068,3,4,7,42.86,0.05542857142857143,24.285714285714285,0.16268252471960812
1504,2330,-7000,6,15,21,28.57,-0.011423809523809527,18.047619047619047,0.21507437498874327
1506,64,-764,0,1,1,0.0,-0.0878,6.0,0.30577983325574776
1512,1282,-4402,5,15,20,25.0,-0.030305000000000006,16.7,0.24229122553367616
1513,456,2194,3,2,5,60.0,0.04638,14.2,0.19346624610565
1514,499,-1109,2,6,8,25.0,-0.009725000000000003,22.375,0.15543619155165056
1515,690,-1320,4,6,10,40.0,-0.005660000000000003,21.4,0.2364196285630972
1516,99,71,2,0,2,100.0,0.01175,26.0,0.20223784528518052
1517,1507,-3767,5,11,16,31.25,-0.007549999999999998,21.0625,0.24465592672154718
1519,136,-1026,0,2,2,0.0,-0.05385,17.0,0.15386072941893525
1521,5113,-9763,5,12,17,29.41,-0.01191764705882353,18.705882352941178,0.16410436463921965
1522,1890,-4090,5,9,14,35.71,-0.012264285714285719,17.714285714285715,0.21161320126371347
1524,1151,239,7,8,15,46.67,0.004266666666666666,19.0,0.23957051727000211
1525,8922,1378,9,15,24,37.5,-0.007958333333333333,20.208333333333332,0.21129752717721936
1526,324,-1174,1,4,5,20.0,-0.03876,21.2,0.2766618182405793
1527,2564,8636,6,7,13,46.15,0.04533076923076924,23.307692307692307,0.18753216807713666
1528,1333,2487,8,10,18,44.44,0.017,19.77777777777778,0.1709931887855659
1529,1271,339,9,12,21,42.86,-0.014519047619047622,11.619047619047619,0.2795068526338449
1530,2908,-10808,5,10,15,33.33,-0.015413333333333338,25.066666666666666,0.2218715477294024
1531,3199,3601,9,10,19,47.37,0.019,24.526315789473685,0.2330068844727713
1532,1975,5375,4,6,10,40.0,0.01543,25.5,0.1964820080484247
1533,318,-1418,0,2,2,0.0,-0.023399999999999997,24.5,0.2186783543660048
1535,1839,-13039,4,6,10,40.0,-0.02343,11.9,0.2044153996847083
1536,7582,4428,10,11,21,47.62,-0.006142857142857143,19.19047619047619,0.18045137932744296
1537,3407,-10057,3,9,12,25.0,-0.031575,19.0,0.2506379365922944
1538,3003,-6763,4,12,16,25.0,-0.028600000000000004,19.1875,0.32526174118182066
1539,2199,-5319,6,16,22,27.27,-0.012554545454545457,20.954545454545453,0.2277107532648639
1540,187,-337,1,1,2,50.0,-0.0101,13.5,0.17142623405497348
1541,1507,7863,6,4,10,60.0,0.013429999999999997,19.0,0.1645924291328904
1558,5340,-17740,2,6,8,25.0,-0.0027750000000000014,12.25,0.20410732022428288
1560,8233,5417,9,10,19,47.37,0.008910526315789475,16.894736842105264,0.2108995058452768
1568,1097,-3747,4,4,8,50.0,-0.014812500000000001,11.75,0.25434068472582855
1582,5952,-31452,2,10,12,16.67,-0.03028333333333334,15.25,0.1827540273597953
1583,2753,-15003,4,6,10,40.0,-0.0253,12.9,0.23303947516228013
1587,0,0,0,0,0,0.0,,,
1589,4184,-36384,1,7,8,12.5,-0.049100000000000005,18.125,0.13308677655802384
1590,32634,-22134,8,7,15,53.33,-0.004833333333333333,13.066666666666666,0.17489794695205657
1597,7103,-47703,6,11,17,35.29,-0.0218,18.0,0.21275758684271912
