ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type,datetime
1641805419597628000,55.1,2,55.0,182,55.1,6,1,2022-01-10 09:03:39
1641805420525592000,55.1,5,55.0,184,55.1,2,1,2022-01-10 09:03:40
1641805420601515000,55.0,5,55.0,179,55.1,2,2,2022-01-10 09:03:40
1641805420624603000,55.0,1,55.0,178,55.1,7,2,2022-01-10 09:03:40
1641805421036087000,55.0,2,55.0,176,55.1,7,2,2022-01-10 09:03:41
1641805421048761000,55.0,1,55.0,175,55.1,7,2,2022-01-10 09:03:41
1641805421481860000,55.1,1,55.0,180,55.1,6,1,2022-01-10 09:03:41
1641805421666025000,55.0,1,55.0,179,55.1,1,2,2022-01-10 09:03:41
1641805421877917000,55.0,2,55.0,177,55.1,1,2,2022-01-10 09:03:41
1641805421915999000,55.1,1,55.0,177,55.2,33,1,2022-01-10 09:03:41
1641805421915999000,55.2,1,55.0,177,55.2,33,1,2022-01-10 09:03:41
1641805422342543000,55.1,20,55.0,177,55.2,34,2,2022-01-10 09:03:42
1641805422411496000,55.0,3,55.0,174,55.1,1,2,2022-01-10 09:03:42
1641805422714210000,55.0,1,55.0,173,55.1,1,2,2022-01-10 09:03:42
1641805422756107000,55.1,1,55.0,173,55.2,34,1,2022-01-10 09:03:42
1641805423472551000,55.1,1,55.0,172,55.1,2,1,2022-01-10 09:03:43
1641805423605585000,55.0,5,55.0,168,55.1,2,2,2022-01-10 09:03:43
1641805423929645000,55.1,5,55.0,168,55.1,2,1,2022-01-10 09:03:43
1641805423990925000,55.1,1,55.0,168,55.1,1,1,2022-01-10 09:03:43
1641805424800456000,55.1,1,55.0,191,55.1,6,1,2022-01-10 09:03:44
1641805424907681000,55.0,3,55.0,188,55.1,7,2,2022-01-10 09:03:44
1641805424974574000,55.1,2,55.0,189,55.1,5,1,2022-01-10 09:03:44
1641805425012438000,55.1,5,55.0,189,55.2,31,1,2022-01-10 09:03:45
1641805425174068000,55.0,5,55.0,185,55.1,1,2,2022-01-10 09:03:45
1641805425635909000,55.0,5,55.0,180,55.1,2,2,2022-01-10 09:03:45
1641805425655149000,55.1,1,55.0,180,55.1,5,1,2022-01-10 09:03:45
1641805426014719000,55.1,2,55.0,180,55.1,4,1,2022-01-10 09:03:46
1641805426194862000,55.1,2,55.0,180,55.1,2,1,2022-01-10 09:03:46
1641805426526914000,55.1,2,55.0,182,55.3,115,1,2022-01-10 09:03:46
1641805426526914000,55.2,31,55.0,182,55.3,115,1,2022-01-10 09:03:46
1641805426526914000,55.3,17,55.0,182,55.3,115,1,2022-01-10 09:03:46
1641805426593261000,55.1,1,55.0,182,55.1,2,1,2022-01-10 09:03:46
1641805426854493000,55.0,93,55.0,93,55.1,3,2,2022-01-10 09:03:46
1641805426898235000,55.0,14,55.0,79,55.1,3,2,2022-01-10 09:03:46
1641805426970302000,55.0,1,55.0,78,55.1,3,2,2022-01-10 09:03:46
1641805427011107000,55.0,4,55.0,78,55.1,4,2,2022-01-10 09:03:47
1641805427125584000,55.0,1,55.0,77,55.1,4,2,2022-01-10 09:03:47
1641805427196470000,55.1,4,55.0,77,55.3,114,1,2022-01-10 09:03:47
1641805427196470000,55.3,1,55.0,77,55.3,114,1,2022-01-10 09:03:47
1641805427509285000,55.1,6,55.0,77,55.3,114,2,2022-01-10 09:03:47
1641805427581548000,55.0,5,55.0,72,55.3,114,2,2022-01-10 09:03:47
1641805427596134000,55.0,3,55.0,69,55.3,114,2,2022-01-10 09:03:47
1641805427807619000,55.1,1,55.0,69,55.3,114,1,2022-01-10 09:03:47
1641805428068112000,55.3,1,55.1,13,55.3,113,1,2022-01-10 09:03:48
1641805428669415000,55.2,1,55.2,2,55.3,113,1,2022-01-10 09:03:48
1641805428694534000,55.2,2,55.1,15,55.3,113,2,2022-01-10 09:03:48
1641805428724109000,55.1,1,55.1,14,55.3,113,2,2022-01-10 09:03:48
1641805428773476000,55.1,1,55.1,13,55.3,113,2,2022-01-10 09:03:48
1641805429019674000,55.3,1,55.1,14,55.3,112,1,2022-01-10 09:03:49
1641805429224820000,55.2,12,55.2,8,55.3,112,2,2022-01-10 09:03:49
1641805429236353000,55.2,1,55.2,7,55.3,112,2,2022-01-10 09:03:49
1641805429364177000,55.2,3,55.2,4,55.3,112,2,2022-01-10 09:03:49
1641805429467607000,55.2,1,55.2,3,55.3,112,2,2022-01-10 09:03:49
1641805429502095000,55.2,1,55.2,2,55.3,112,2,2022-01-10 09:03:49
1641805429576830000,55.2,2,55.1,16,55.3,114,2,2022-01-10 09:03:49
1641805429996088000,55.1,2,55.1,14,55.2,1,2,2022-01-10 09:03:49
1641805430534526000,55.2,1,55.1,19,55.3,114,1,2022-01-10 09:03:50
1641805430639504000,55.3,1,55.2,3,55.3,117,1,2022-01-10 09:03:50
1641805430683126000,55.2,1,55.2,2,55.3,117,2,2022-01-10 09:03:50
1641805430772033000,55.3,2,55.2,2,55.3,115,1,2022-01-10 09:03:50
1641805430904544000,55.2,2,55.1,10,55.3,115,2,2022-01-10 09:03:50
1641805430904544000,55.1,10,55.1,10,55.3,115,2,2022-01-10 09:03:50
1641805431018689000,55.3,1,55.1,10,55.3,115,1,2022-01-10 09:03:51
1641805431648025000,55.2,3,55.2,1,55.3,115,2,2022-01-10 09:03:51
1641805431777349000,55.3,9,55.2,1,55.3,106,1,2022-01-10 09:03:51
1641805431834407000,55.3,8,55.2,1,55.3,98,1,2022-01-10 09:03:51
1641805431867348000,55.3,2,55.2,1,55.3,96,1,2022-01-10 09:03:51
1641805431963489000,55.3,1,55.2,1,55.3,95,1,2022-01-10 09:03:51
1641805432109743000,55.3,1,55.2,1,55.3,94,1,2022-01-10 09:03:52
1641805432396673000,55.3,1,55.2,1,55.3,93,1,2022-01-10 09:03:52
1641805432645013000,55.2,1,55.1,13,55.3,93,2,2022-01-10 09:03:52
1641805432796092000,55.3,20,55.2,20,55.3,75,1,2022-01-10 09:03:52
1641805433069317000,55.3,75,55.2,20,55.4,28,1,2022-01-10 09:03:53
1641805433069317000,55.4,25,55.2,20,55.4,28,1,2022-01-10 09:03:53
1641805433122105000,55.2,1,55.2,19,55.4,28,2,2022-01-10 09:03:53
1641805433180113000,55.2,1,55.2,18,55.4,28,2,2022-01-10 09:03:53
1641805433635894000,55.2,1,55.2,17,55.4,28,2,2022-01-10 09:03:53
1641805433777478000,55.2,1,55.2,16,55.4,28,2,2022-01-10 09:03:53
1641805433869945000,55.4,4,55.2,17,55.4,24,1,2022-01-10 09:03:53
1641805433929424000,55.4,1,55.2,17,55.4,23,1,2022-01-10 09:03:53
1641805433993125000,55.2,7,55.2,10,55.3,1,2,2022-01-10 09:03:53
1641805434267241000,55.3,2,55.2,10,55.4,23,1,2022-01-10 09:03:54
1641805434352559000,55.3,1,55.2,10,55.4,23,2,2022-01-10 09:03:54
1641805434552277000,55.2,1,55.2,10,55.4,23,2,2022-01-10 09:03:54
1641805434605931000,55.4,3,55.2,10,55.4,20,1,2022-01-10 09:03:54
1641805434619844000,55.4,1,55.2,10,55.4,19,1,2022-01-10 09:03:54
1641805434669505000,55.2,2,55.2,8,55.4,19,2,2022-01-10 09:03:54
1641805435102276000,55.3,1,55.3,1,55.4,19,2,2022-01-10 09:03:55
1641805435260668000,55.3,1,55.2,6,55.4,19,2,2022-01-10 09:03:55
1641805435260668000,55.2,2,55.2,6,55.4,19,2,2022-01-10 09:03:55
1641805436142272000,55.4,1,55.3,1,55.4,18,1,2022-01-10 09:03:56
