代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1529,1204,586,12,9,21,57.14,0.006357142857142857,16.80952380952381
1530,5156,-2656,13,10,23,56.52,0.008234782608695652,57.21739130434783
1531,3797,-8427,14,14,28,50.0,-0.0020071428571428558,52.392857142857146
1532,6411,-6111,17,17,34,50.0,-0.0008411764705882364,53.55882352941177
1533,5637,-4867,14,17,31,45.16,0.006174193548387099,24.612903225806452
1535,3520,5130,10,6,16,62.5,0.022068749999999998,57.9375
1536,5509,-22159,9,12,21,42.86,-0.013166666666666665,26.38095238095238
1537,7964,18436,15,11,26,57.69,-0.003376923076923077,65.8076923076923
1538,4863,-39653,15,22,37,40.54,-0.021337837837837832,24.027027027027028
1539,2839,-7429,14,13,27,51.85,-0.0013925925925925915,36.370370370370374
1540,2839,-8939,11,12,23,47.83,0.0038304347826086963,86.04347826086956
1541,3752,9458,12,15,27,44.44,-0.012103703703703709,24.666666666666668
1558,6292,-48892,3,8,11,27.27,-0.05679090909090909,99.0909090909091
1560,9174,-56974,10,15,25,40.0,-0.035284,25.48
1568,2063,-1113,9,7,16,56.25,0.004537500000000001,29.4375
1582,8617,2383,12,9,21,57.14,0.009214285714285715,50.23809523809524
1583,4107,15343,9,5,14,64.29,0.029378571428571428,52.285714285714285
1587,1163,-7373,4,5,9,44.44,-0.039055555555555545,67.66666666666667
1589,6619,-46119,9,6,15,60.0,0.00944,48.93333333333333
1590,17148,-23648,7,6,13,53.85,0.009276923076923075,12.384615384615385
1597,4444,-2494,7,6,13,53.85,-0.016530769230769224,31.153846153846153
1598,3288,-8988,6,6,12,50.0,-0.010750000000000001,38.75
1603,1312,8,10,9,19,52.63,-0.005599999999999998,58.526315789473685
1604,2279,13281,22,8,30,73.33,0.03908666666666667,45.96666666666667
1605,1843,-983,13,11,24,54.17,0.004712499999999999,31.958333333333332
1608,1969,-3469,12,17,29,41.38,-0.015344827586206896,51.03448275862069
1609,1998,-2298,17,14,31,54.84,-0.0008451612903225793,48.67741935483871
1611,2374,10756,19,10,29,65.52,0.03981724137931035,48.86206896551724
1612,1563,-6013,10,9,19,52.63,-0.009705263157894741,65.52631578947368
1614,2595,5955,12,5,17,70.59,0.02750588235294117,109.41176470588235
1615,1256,-7856,6,10,16,37.5,-0.03459374999999999,54.8125
1616,1650,2720,16,11,27,59.26,0.01864074074074074,31.85185185185185
1617,1424,616,10,9,19,52.63,-0.00495263157894737,65.57894736842105
1618,2165,8845,18,10,28,64.29,0.028771428571428576,26.714285714285715
1626,3132,-2882,8,7,15,53.33,0.0021333333333333343,31.933333333333334
1701,1957,12823,13,6,19,68.42,0.03235263157894737,66.26315789473684
1702,5129,-18029,14,16,30,46.67,-0.010680000000000002,56.56666666666667
1707,9303,9757,9,8,17,52.94,0.006876470588235291,50.411764705882355
