Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2015-01-08	8436	82.6	83	82.1	82.7	233000	19225800	82.7
2015-01-08	8446	88.9	90.5	87.5	89.1	94000	8364200	89.1
2015-01-08	8450	135	140	128	138	645000	86333000	138
2015-01-08	8905	23.1	23.25	23.1	23.2	476000	11024150	23.2
2015-01-08	8906	9.18	9.18	9.14	9.17	3000	27490	9.17
2015-01-08	8908	38.7	38.7	38.7	38.7	1000	38700	38.7
2015-01-08	8913	17.8	17.85	17.75	17.75	4000	71150	17.75
2015-01-08	8916	41.7	41.7	40.9	41.1	251000	10338650	41.1
2015-01-08	8917	46.65	48	46.65	48	5000	236100	48
2015-01-08	8921					0	0	
2015-01-08	8923					0	0	
2015-01-08	8924	16.9	17.15	16.9	16.95	191000	3246750	16.95
2015-01-08	8925	8.94	9.07	8.91	9.01	3043000	27277420	9.01
2015-01-08	8927	12.85	12.85	12.6	12.6	92000	1168200	12.6
2015-01-08	8928	39.1	39.1	38.2	38.75	218000	8381350	38.75
2015-01-08	8929	31.3	31.3	30.6	30.6	45000	1381600	30.6
2015-01-08	8930	14.2	15.1	13.9	13.9	1352000	19831400	13.9
2015-01-08	8931	22.1	22.4	22.1	22.4	13000	289850	22.4
2015-01-08	8932	10.7	10.7	10.6	10.6	22000	234150	10.6
2015-01-08	8933	14.5	14.65	14.35	14.45	443000	6410000	14.45
2015-01-08	8934					0	0	
2015-01-08	8935	8.05	8.3	8	8.04	424000	3433900	8.04
2015-01-08	8936	52.3	53.7	51.6	52.8	5346000	282503600	52.8
2015-01-08	8937	12.45	13.2	12.45	13.2	391000	5144250	13.2
2015-01-08	8938	21.45	21.45	21.05	21.3	30000	638650	21.3
2015-01-08	8941	63.5	63.5	61	62.2	13000	812000	62.2
2015-01-08	8942	91.5	91.7	90.1	90.1	540000	49017100	90.1
2015-01-08	9949	19.75	19.9	19.7	19.8	32000	633650	19.8
2015-01-08	9950	23.6	23.65	23.5	23.6	62000	1459900	23.6
2015-01-08	9951	115	115	113	113.5	130000	14793500	113.5
2015-01-08	9960	22	23.5	21.75	22.5	761000	17192950	22.5
2015-01-08	9962	11.6	11.7	11.6	11.65	67000	778950	11.65
2015-01-08	911613	8.3	8.4	8.11	8.4	40000	325850	8.4
