Adj Close	Close	Date	High	Low	Open	Ticker	Volume
93.0	93.0	2020-11-11	94.8	92.4	93.3	3228	66408300
6.75	6.75	2020-11-11	6.99	6.58	6.93	3230	2567230
17.8	17.8	2020-11-11	17.9	17.65	17.8	3232	3002500
44.2	44.2	2020-11-11	44.2	42.8	43.0	3234	138304950
21.05	21.05	2020-11-11	21.25	20.6	20.6	3236	4823700
17.3	17.3	2020-11-11	17.6	17.3	17.3	3252	836450
38.3	38.3	2020-11-11	38.5	35.65	35.7	3259	22168700
57.7	57.7	2020-11-11	58.9	57.7	58.7	3260	261451900
34.75	34.75	2020-11-11	34.85	34.55	34.85	3264	93075550
24.8	24.8	2020-11-11	25.35	24.2	24.2	3265	13775700
17.8	17.8	2020-11-11	18.25	17.4	17.45	3268	3175850
49.6	49.6	2020-11-11	53.8	49.6	51.5	3272	245913450
9.59	9.59	2020-11-11	10.1	9.59	10.1	3276	1189160
14.4	14.4	2020-11-11	15.4	14.3	14.3	3284	6029200
21.25	21.25	2020-11-11	21.45	19.85	19.95	3285	19881200
30.9	30.9	2020-11-11	31.9	28.75	29.0	3287	83858250
10.0	10.0	2020-11-11	10.4	10.0	10.4	3288	50400
54.3	54.3	2020-11-11	54.5	53.3	53.3	3289	27217900
15.3	15.3	2020-11-11	15.35	15.15	15.3	3290	4119600
692.0	692.0	2020-11-11	723.0	691.0	723.0	3293	1453587000
17.25	17.25	2020-11-11	18.2	17.05	17.1	3294	13950350
12.3	12.3	2020-11-11	12.3	12.2	12.3	3297	208250
22.9	22.9	2020-11-11	23.05	22.75	23.0	3303	4992800
18.15	18.15	2020-11-11	18.3	18.1	18.3	3306	725700
32.05	32.05	2020-11-11	33.1	32.0	33.0	3310	9685600
12.2	12.2	2020-11-11	12.55	12.2	12.5	3313	1572950
38.85	38.85	2020-11-11	39.15	38.5	38.9	3317	35241000
7.86	7.86	2020-11-11	7.95	7.85	7.95	3322	646160
41.5	41.5	2020-11-11	42.25	41.45	42.0	3323	49029900
241.0	241.0	2020-11-11	244.0	236.0	236.5	3324	1563807500
27.15	27.15	2020-11-11	27.75	26.7	26.8	3325	79871300
35.0	35.0	2020-11-11	35.0	34.5	34.5	3332	279300
10.4	10.4	2020-11-11	10.65	10.3	10.65	3339	554600
12.15	12.15	2020-11-11	12.2	12.05	12.2	3354	157750
14.55	14.55	2020-11-11	14.7	14.4	14.4	3360	3532050
33.1	33.1	2020-11-11	33.5	32.85	33.5	3362	3514050
25.9	25.9	2020-11-11	26.2	25.55	25.55	3363	17224300
10.6	10.6	2020-11-11	10.9	10.3	10.3	3372	8973550
91.8	91.8	2020-11-11	91.8	90.2	91.0	3373	97896200
171.0	171.0	2020-11-11	172.0	156.5	159.0	3374	7007233000
11.95	11.95	2020-11-11	11.95	11.55	11.55	3379	2310100
65.4	65.4	2020-11-11	65.6	64.7	64.7	3388	7094800
14.8	14.8	2020-11-11	15.1	14.7	14.9	3390	1927050
28.9	28.9	2020-11-11	28.95	28.85	28.9	3402	5839800
45.0	45.0	2020-11-11	46.15	45.0	46.15	3426	274450
14.5	14.5	2020-11-11	14.65	13.5	13.5	3434	69650
49.3	49.3	2020-11-11	49.3	44.85	44.9	3438	51490750
23.2	23.2	2020-11-11	23.4	23.15	23.25	3441	1114600
35.4	35.4	2020-11-11	35.4	35.1	35.1	3444	2399050
50.8	50.8	2020-11-11	51.2	50.3	51.2	3455	25428900
140.0	140.0	2020-11-11	140.0	126.5	127.5	3465	15078500
12.8	12.8	2020-11-11	12.8	12.25	12.25	3466	1005950
50.5	50.5	2020-11-11	50.5	49.9	50.0	3479	5520250
70.8	70.8	2020-11-11	71.3	70.3	70.4	3483	69651000
43.0	43.0	2020-11-11	43.7	42.35	42.4	3484	78457450
12.55	12.55	2020-11-11	12.7	12.05	12.15	3489	1246750
30.75	30.75	2020-11-11	31.95	30.6	31.25	3490	64316950
71.2	71.2	2020-11-11	71.4	70.3	70.3	3491	12778700
15.25	15.25	2020-11-11	15.3	15.15	15.2	3492	638100
51.5	51.5	2020-11-11	53.7	51.5	52.0	3498	64954400
10.4	10.4	2020-11-11	10.6	10.15	10.15	3499	1460000
17.2	17.2	2020-11-11	17.45	16.95	17.05	3508	14791850
26.0	26.0	2020-11-11	28.2	26.0	26.75	3511	142978300
26.25	26.25	2020-11-11	26.25	26.05	26.05	3512	838000
15.45	15.45	2020-11-11	15.75	15.35	15.5	3516	2860900
16.35	16.35	2020-11-11	16.45	16.15	16.4	3520	1610100
10.2	10.2	2020-11-11	10.2	9.98	10.05	3521	393920
10.95	10.95	2020-11-11	11.15	10.95	11.0	3522	2300000
12.6	12.6	2020-11-11	12.85	12.6	12.85	3523	317550
79.8	79.8	2020-11-11	80.6	79.7	79.7	3526	28279700
88.8	88.8	2020-11-11	88.9	88.1	88.2	3527	7169200
579.0	579.0	2020-11-11	584.0	565.0	583.0	3529	669251000
21.5	21.5	2020-11-11	21.5	21.45	21.45	3531	408200
30.3	30.3	2020-11-11	30.45	30.1	30.15	3537	5973750
66.1	66.1	2020-11-11	66.9	65.6	66.3	3540	104148600
59.8	59.8	2020-11-11	60.2	59.8	60.1	3541	4680000
71.6	71.6	2020-11-11	72.0	70.7	70.7	3546	11837300
69.1	69.1	2020-11-11	69.8	69.0	69.0	3548	23048400
52.8	52.8	2020-11-11	53.2	51.9	51.9	3551	27281800
157.5	157.5	2020-11-11	159.0	152.5	155.0	3552	3084548000
31.95	31.95	2020-11-11	31.95	31.95	31.95	3555	31950
54.7	54.7	2020-11-11	54.7	53.9	53.9	3556	16721400
94.2	94.2	2020-11-11	94.4	94.1	94.3	3558	7067400
24.0	24.0	2020-11-11	24.0	23.45	23.45	3564	1448800
25.35	25.35	2020-11-11	25.4	25.1	25.4	3567	3659300
80.8	80.8	2020-11-11	80.8	79.0	79.3	3570	5251300
29.95	29.95	2020-11-11	30.2	29.8	29.8	3577	419550
48.5	48.5	2020-11-11	48.5	45.0	45.75	3580	139406800
18.3	18.3	2020-11-11	18.45	18.0	18.4	3581	1289700
87.0	87.0	2020-11-11	88.1	85.6	85.6	3587	15881300
23.7	23.7	2020-11-11	23.85	23.5	23.7	3594	3738800
19.15	19.15	2020-11-11	19.2	18.9	19.2	3597	589650
32.95	32.95	2020-11-11	33.05	32.9	33.0	3609	1418250
201.0	201.0	2020-11-11	204.0	188.0	188.0	3611	69336000
18.7	18.7	2020-11-11	19.15	18.7	18.7	3615	7248050
15.2	15.2	2020-11-11	15.35	15.2	15.3	3623	183200
27.4	27.4	2020-11-11	27.4	26.4	26.4	3624	28560950
14.45	14.45	2020-11-11	14.65	14.3	14.3	3625	2781450
41.05	41.05	2020-11-11	41.15	40.6	40.85	3628	5797400
82.0	82.0	2020-11-11	82.0	80.0	80.0	3629	7077500
41.4	41.4	2020-11-11	41.5	40.9	41.0	3630	18524550
48.9	48.9	2020-11-11	48.9	47.8	48.0	3631	9242100
10.95	10.95	2020-11-11	11.15	10.75	10.75	3632	153100
14.8	14.8	2020-11-11	15.0	14.55	15.0	3642	893550
20.25	20.25	2020-11-11	20.7	20.15	20.45	3646	5013200
19.6	19.6	2020-11-11	19.95	19.55	19.95	3652	785750
18.45	18.45	2020-11-11	18.5	18.3	18.45	3663	1437000
11.0	11.0	2020-11-11	11.0	10.9	10.9	3664	482500
38.3	38.3	2020-11-11	39.65	38.25	38.8	3666	46655450
22.75	22.75	2020-11-11	24.0	22.7	22.9	3672	3636600
77.8	77.8	2020-11-11	78.2	76.1	77.0	3675	18946700
277.0	277.0	2020-11-11	289.0	276.0	276.0	3680	1091168500
33.55	33.55	2020-11-11	34.0	32.8	34.0	3684	1647800
17.7	17.7	2020-11-11	18.4	17.3	17.3	3685	929600
41.15	41.15	2020-11-11	41.85	41.05	41.65	3687	6474700
28.7	28.7	2020-11-11	29.2	28.2	28.2	3689	7887950
174.5	174.5	2020-11-11	190.5	173.5	189.5	3691	1098594000
51.1	51.1	2020-11-11	51.9	50.0	50.0	3693	5623400
27.8	27.8	2020-11-11	27.9	27.65	27.8	3707	34984450
23.45	23.45	2020-11-11	23.65	23.1	23.1	3709	1425250
8.58	8.58	2020-11-11	8.8	8.55	8.76	3710	10172570
40.85	40.85	2020-11-11	41.9	40.5	41.9	3713	8850600
24.3	24.3	2020-11-11	24.65	24.25	24.55	4102	7829150
71.4	71.4	2020-11-11	71.9	71.0	71.3	4105	135453400
141.0	141.0	2020-11-11	142.5	141.0	141.0	4107	26743000
17.0	17.0	2020-11-11	17.1	16.95	17.05	4109	1992450
24.35	24.35	2020-11-11	24.4	24.1	24.1	4111	2088650
14.8	14.8	2020-11-11	15.0	14.6	14.65	4113	11137400
24.95	24.95	2020-11-11	25.15	24.75	24.8	4114	32808150
31.2	31.2	2020-11-11	31.2	31.15	31.2	4116	467800
50.2	50.2	2020-11-11	50.7	50.2	50.7	4120	4430600
18.3	18.3	2020-11-11	18.35	17.9	17.9	4121	14900550
67.0	67.0	2020-11-11	67.2	66.2	66.3	4123	118390300
69.5	69.5	2020-11-11	69.8	69.4	69.7	4126	12800100
11.75	11.75	2020-11-11	12.0	11.65	11.8	4127	1680000
70.2	70.2	2020-11-11	71.3	69.6	71.0	4128	206398900
33.65	33.65	2020-11-11	33.7	33.4	33.4	4129	1841100
46.3	46.3	2020-11-11	46.3	46.3	46.3	4129A	231500
30.4	30.4	2020-11-11	30.8	30.3	30.65	4130	11438250
7.7	7.7	2020-11-11	7.7	7.31	7.31	4131	215970
48.55	48.55	2020-11-11	48.75	48.2	48.2	4138	2182450
53.6	53.6	2020-11-11	54.0	52.5	52.5	4139	4796300
87.1	87.1	2020-11-11	88.3	87.0	88.3	4147	22775100
60.2	60.2	2020-11-11	60.6	59.9	60.0	4152	9088400
27.85	27.85	2020-11-11	29.45	27.85	28.8	4153	5247700
30.6	30.6	2020-11-11	31.4	30.6	31.4	4154	529100
22.4	22.4	2020-11-11	23.15	22.4	23.15	4157	48801000
24.35	24.35	2020-11-11	24.55	24.25	24.55	4160	803050
25.1	25.1	2020-11-11	25.2	25.05	25.2	4161	1128300
55.4	55.4	2020-11-11	55.8	55.3	55.7	4162	12770000
99.3	99.3	2020-11-11	99.4	98.2	98.2	4163	19014300
32.65	32.65	2020-11-11	33.2	32.5	32.7	4167	29975900
24.75	24.75	2020-11-11	25.55	24.5	25.3	4168	11039300
141.5	141.5	2020-11-11	148.0	140.5	144.0	4171	70899500
23.9	23.9	2020-11-11	24.3	23.65	24.0	4173	48129450
110.5	110.5	2020-11-11	111.5	109.5	111.0	4174	25573500
67.6	67.6	2020-11-11	67.7	67.3	67.5	4175	1957500
21.15	21.15	2020-11-11	21.15	21.1	21.1	4183	337750
20.3	20.3	2020-11-11	20.4	20.05	20.1	4188	1514750
46.8	46.8	2020-11-11	48.0	46.5	47.7	4192	8213250
9.23	9.23	2020-11-11	9.23	9.23	9.23	4198	313820
93.5	93.5	2020-11-11	93.5	91.5	91.8	4205	11230300
11.8	11.8	2020-11-11	11.8	11.75	11.75	4207	1190300
24.6	24.6	2020-11-11	24.95	24.05	24.95	4303	855600
3.82	3.82	2020-11-11	3.82	3.82	3.82	4304	7640
32.0	32.0	2020-11-11	32.9	32.0	32.9	4305	224900
25.4	25.4	2020-11-11	25.75	25.2	25.7	4401	3684250
5.37	5.37	2020-11-11	5.45	5.37	5.45	4402	65230
8.25	8.25	2020-11-11	8.25	8.24	8.24	4406	24740
16.35	16.35	2020-11-11	16.45	15.7	16.3	4413	1390150
80.8	80.8	2020-11-11	81.2	80.8	81.2	4416	567600
32.35	32.35	2020-11-11	32.75	32.3	32.5	4417	17859700
12.9	12.9	2020-11-11	13.0	12.9	13.0	4419	480100
24.15	24.15	2020-11-11	24.2	24.15	24.2	4420	120850
----	----	2020-11-11	----	----	----	4429	0
23.65	23.65	2020-11-11	23.65	23.55	23.6	4430	755500
16.2	16.2	2020-11-11	16.2	15.95	16.2	4432	1416100
43.85	43.85	2020-11-11	44.55	43.55	43.8	4433	23534750
50.8	50.8	2020-11-11	50.8	50.5	50.5	4502	2225400
16.35	16.35	2020-11-11	16.4	16.2	16.3	4503	342700
57.5	57.5	2020-11-11	57.8	57.2	57.2	4506	2640100
11.2	11.2	2020-11-11	11.25	11.15	11.25	4510	1029550
8.4	8.4	2020-11-11	8.4	8.3	8.35	4513	175630
26.0	26.0	2020-11-11	26.25	25.45	26.0	4523	336650
28.25	28.25	2020-11-11	28.25	27.95	28.05	4527	2354850
48.6	48.6	2020-11-11	49.05	47.4	47.75	4528	25484400
10.0	10.0	2020-11-11	10.0	9.13	9.13	4529	7496750
12.6	12.6	2020-11-11	13.05	12.5	12.7	4530	356050
11.3	11.3	2020-11-11	11.35	11.2	11.2	4533	507950
8.13	8.13	2020-11-11	8.14	8.04	8.14	4534	710060
27.2	27.2	2020-11-11	27.3	26.7	26.7	4535	813400
15.45	15.45	2020-11-11	15.45	15.4	15.45	4538	107950
18.6	18.6	2020-11-11	18.9	18.6	18.9	4541	1289700
21.0	21.0	2020-11-11	21.0	20.8	20.8	4542	62800
15.6	15.6	2020-11-11	15.6	15.6	15.6	4543	15600
74.1	74.1	2020-11-11	74.6	73.8	74.0	4549	3934800
22.25	22.25	2020-11-11	22.3	22.2	22.2	4550	557000
27.1	27.1	2020-11-11	27.35	27.0	27.1	4554	948050
33.6	33.6	2020-11-11	35.6	33.3	35.55	4556	7947600
23.7	23.7	2020-11-11	23.7	23.0	23.7	4561	2219250
31.8	31.8	2020-11-11	32.0	31.65	32.0	4563	606150
69.5	69.5	2020-11-11	70.2	69.2	69.5	4568	5286400
95.7	95.7	2020-11-11	95.7	94.9	95.0	4580	6659600
