代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1733,7229,-37579,15,19,34,44.12,-0.01558529411764706,65.23529411764706
1734,5391,14859,19,10,29,65.52,0.02402413793103448,70.3103448275862
1735,2501,1249,15,13,28,53.57,0.011921428571428569,93.60714285714286
1736,15184,-40934,22,20,42,52.38,-0.010850000000000002,41.857142857142854
1737,3035,4915,10,8,18,55.56,0.012544444444444445,160.5
1760,45636,-105586,22,31,53,41.51,-0.025439622641509438,25.67924528301887
1762,10697,3703,23,18,41,56.1,0.014458536585365854,40.63414634146341
1773,21851,69799,25,12,37,67.57,0.0259,56.21621621621622
1776,1518,-11418,5,9,14,35.71,-0.033057142857142854,144.64285714285714
1783,7804,23146,24,14,38,63.16,0.013618421052631575,33.526315789473685
1786,18345,-7495,25,24,49,51.02,0.0016244897959183677,28.244897959183675
1789,8314,-49464,16,21,37,43.24,-0.02081621621621622,57.7027027027027
1795,34055,56195,29,24,53,54.72,0.015469811320754718,25.90566037735849
1802,3953,-14013,17,18,35,48.57,-0.009337142857142858,56.542857142857144
1805,2648,722,18,18,36,50.0,0.010808333333333335,47.333333333333336
1806,2403,-6033,17,19,36,47.22,-0.007219444444444439,59.888888888888886
1808,7679,17071,17,10,27,62.96,0.019511111111111108,84.11111111111111
1809,3031,2049,22,16,38,57.89,0.008842105263157892,50.18421052631579
1810,1943,6697,16,9,25,64.0,0.03008,97.16
1817,4972,11978,14,9,23,60.87,0.021626086956521736,104.8695652173913
1903,8948,9452,17,15,32,53.12,0.011484375000000003,70.15625
1904,3716,4984,16,10,26,61.54,0.01752692307692308,88.38461538461539
1905,3582,4458,23,14,37,62.16,0.0155,55.108108108108105
1906,4357,11623,27,16,43,62.79,0.03298604651162791,36.651162790697676
1907,4055,-575,16,17,33,48.48,-0.00016363636363636496,67.9090909090909
1909,4932,-14382,19,22,41,46.34,-0.005929268292682927,42.90243902439025
2002,2752,-2802,9,8,17,52.94,0.0061823529411764696,163.41176470588235
2006,5353,26947,16,10,26,61.54,0.023765384615384612,95.0
2007,2810,-7090,19,22,41,46.34,-0.004478048780487808,43.97560975609756
2008,2459,11661,17,10,27,62.96,0.03587407407407408,89.4074074074074
2009,5227,-13517,20,20,40,50.0,0.007075000000000002,47.625
2010,2197,-4707,12,12,24,50.0,-0.004129166666666667,109.58333333333333
2012,2863,-5663,13,10,23,56.52,0.005317391304347829,104.08695652173913
2013,5784,5366,15,13,28,53.57,0.02135714285714286,84.85714285714286
2014,4487,-5217,21,18,39,53.85,0.007297435897435896,42.43589743589744
2015,7100,9000,12,9,21,57.14,0.008047619047619045,124.0
2017,2397,8063,18,13,31,58.06,0.015077419354838709,62.54838709677419
2020,2710,-610,13,11,24,54.17,0.012633333333333331,105.91666666666667
2022,2259,1831,19,17,36,52.78,0.01728055555555556,51.97222222222222
2023,3110,-21180,13,23,36,36.11,-0.029191666666666664,58.333333333333336
2024,3188,12802,24,12,36,66.67,0.037380555555555556,51.611111111111114
2025,2419,431,23,25,48,47.92,0.0004854166666666664,30.895833333333332
2027,7307,-1857,23,18,41,56.1,0.00881219512195122,48.853658536585364
2028,4443,12297,29,17,46,63.04,0.026960869565217392,29.58695652173913
2029,4368,-7168,15,15,30,50.0,-0.0009133333333333315,73.06666666666666
2030,3853,3767,22,15,37,59.46,0.022721621621621623,48.945945945945944
2031,7969,1331,23,17,40,57.5,0.016802499999999998,41.9
2032,3496,-3446,18,21,39,46.15,-0.0006846153846153844,52.0
2033,2828,522,18,16,34,52.94,0.014908823529411763,64.70588235294117
2034,4736,5914,17,13,30,56.67,0.015493333333333336,71.73333333333333
2038,3604,11106,20,16,36,55.56,0.016394444444444448,53.27777777777778
2049,72340,-125340,25,23,48,52.08,-0.004629166666666666,28.166666666666668
2059,83286,-167286,19,18,37,51.35,-0.005154054054054053,54.37837837837838
2062,8979,-9629,20,20,40,50.0,-0.006669999999999998,51.675
2069,3460,-5060,14,11,25,56.0,-0.0009639999999999999,57.48
2101,5832,-20932,12,16,28,42.86,-0.016478571428571426,92.53571428571429
2102,3467,-22397,13,20,33,39.39,-0.02893939393939394,68.45454545454545
2103,6158,-23908,16,20,36,44.44,-0.01551388888888889,61.916666666666664
2104,5522,15128,20,11,31,64.52,0.024125806451612903,74.06451612903226
2105,8268,-38368,11,16,27,40.74,-0.020429629629629634,89.81481481481481
