代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均持倉時間(日)
2015,14734,-42934,21,28,49,42.86,53.6530612244898
2017,4421,-20571,25,33,58,43.1,23.310344827586206
2020,6098,-17448,20,25,45,44.44,52.0
2022,3221,-10061,23,25,48,47.92,19.104166666666668
2023,5286,274,25,23,48,52.08,28.958333333333332
2024,3640,-16660,24,26,50,48.0,28.98
2025,3795,-7515,28,30,58,48.28,10.310344827586206
2027,10353,1447,31,31,62,50.0,22.467741935483872
2028,5434,-33864,24,38,62,38.71,17.532258064516128
2029,8010,-4660,19,23,42,45.24,47.333333333333336
2030,6590,-14390,26,28,54,48.15,20.666666666666668
2031,11801,-27351,25,31,56,44.64,28.178571428571427
2032,7185,-3275,31,27,58,53.45,16.775862068965516
2033,5046,-40586,20,26,46,43.48,28.08695652173913
2034,8247,-39947,20,28,48,41.67,40.729166666666664
2038,3594,-12164,15,14,29,51.72,13.931034482758621
2049,57655,-413955,11,30,41,26.83,26.48780487804878
2059,72261,-55761,22,22,44,50.0,42.0
2062,8087,-6987,13,18,31,41.94,33.54838709677419
2069,2578,-8178,7,9,16,43.75,17.8125
2101,11341,-18091,19,31,50,38.0,36.8
2102,5761,14089,24,22,46,52.17,20.847826086956523
2103,12472,2728,28,33,61,45.9,25.983606557377048
2104,6406,-5806,18,19,37,48.65,59.24324324324324
2105,12029,-44429,13,21,34,38.24,47.76470588235294
2106,8424,-26824,15,23,38,39.47,45.86842105263158
2107,6074,-2424,24,26,50,48.0,45.88
2108,10624,-42774,21,31,52,40.38,29.653846153846153
2109,3508,-8858,20,21,41,48.78,21.902439024390244
2114,14642,-42992,13,20,33,39.39,65.33333333333333
2115,4276,-14676,6,8,14,42.86,31.5
2201,8861,4139,22,17,39,56.41,46.69230769230769
2204,7415,-4265,18,17,35,51.43,50.857142857142854
2206,7529,-6949,26,30,56,46.43,31.767857142857142
2207,69813,-92113,22,29,51,43.14,61.07843137254902
2208,2666,15384,12,6,18,66.67,58.5
2227,39951,-212551,13,24,37,35.14,42.027027027027025
2228,11619,-30719,6,8,14,42.86,27.5
2231,48678,-63578,17,25,42,40.48,24.11904761904762
2233,18183,24917,16,13,29,55.17,20.724137931034484
2236,2933,-11183,5,7,12,41.67,18.0
2239,6553,38247,5,3,8,62.5,24.25
2241,2806,-12926,2,3,5,40.0,6.8
2243,805,9845,7,1,8,87.5,8.25
2247,0,0,0,0,0,0.0,
2301,10046,-12096,18,21,39,46.15,51.02564102564103
2302,3844,-6614,29,29,58,50.0,14.89655172413793
2303,6691,11909,26,23,49,53.06,31.877551020408163
2305,3351,3719,29,23,52,55.77,14.75
2308,36752,-74852,20,28,48,41.67,48.583333333333336
2312,3360,16900,27,15,42,64.29,38.61904761904762
2313,7264,-37674,20,34,54,37.04,24.59259259259259
2314,9004,-19184,30,27,57,52.63,15.192982456140351
2316,6107,-38067,19,32,51,37.25,21.784313725490197
2317,31043,-81343,18,22,40,45.0,42.175
2321,3351,489,28,18,46,60.87,12.652173913043478
2323,2980,100,18,19,37,48.65,23.7027027027027
2324,6821,8729,20,17,37,54.05,58.648648648648646
2327,78371,-595091,24,44,68,35.29,25.397058823529413
2328,11271,-72371,18,26,44,40.91,16.272727272727273
2329,4560,-31210,19,43,62,30.65,15.96774193548387
2330,48048,-293348,15,28,43,34.88,85.46511627906976
2331,5123,-16483,20,28,48,41.67,22.25
2332,7653,12697,23,19,42,54.76,27.023809523809526
2337,7318,-3538,29,29,58,50.0,18.844827586206897
2338,7469,-23639,20,23,43,46.51,38.48837209302326
2340,7745,-32575,23,35,58,39.66,22.70689655172414
2342,7676,-42056,24,35,59,40.68,7.5423728813559325
2344,5171,-5741,25,28,53,47.17,19.71698113207547
2345,25284,3296,25,34,59,42.37,25.35593220338983
2347,13922,9028,20,21,41,48.78,47.51219512195122
2348,11799,11131,31,28,59,52.54,13.40677966101695
2349,2582,-9932,17,18,35,48.57,11.228571428571428
2351,18255,-37905,29,40,69,42.03,20.217391304347824
2352,5939,-8709,19,26,45,42.22,32.8
2353,11794,-48394,17,27,44,38.64,37.84090909090909
2354,35768,-197468,15,32,47,31.91,30.70212765957447
2355,9024,-18174,18,27,45,40.0,41.266666666666666
2356,5360,1640,22,21,43,51.16,37.27906976744186
2357,54410,224090,26,19,45,57.78,50.022222222222226
2358,5354,146,31,25,56,55.36,11.964285714285714
2359,5434,-574,27,27,54,50.0,28.462962962962962
2360,28160,-49910,25,32,57,43.86,31.263157894736842
2362,10333,-16183,23,27,50,46.0,21.68
2363,3645,4895,21,18,39,53.85,18.641025641025642
2364,3104,-8794,26,22,48,54.17,10.520833333333334
2365,5338,-13408,17,21,38,44.74,28.57894736842105
2367,5343,-30743,18,30,48,37.5,18.541666666666668
2368,9829,5471,29,38,67,43.28,21.17910447761194
2369,5379,-9389,25,29,54,46.3,20.814814814814813
2371,6058,2572,30,26,56,53.57,14.321428571428571
2373,9636,-61536,14,23,37,37.84,85.91891891891892
2374,8238,-46938,16,29,45,35.56,34.46666666666667
2375,9438,-94098,20,36,56,35.71,20.803571428571427
2376,17062,-64212,20,34,54,37.04,31.944444444444443
2377,20178,-127128,17,37,54,31.48,28.40740740740741
2379,46906,-147856,24,31,55,43.64,29.272727272727273
2380,4129,-3809,21,21,42,50.0,17.452380952380953
2382,15840,20160,22,18,40,55.0,48.125
2383,30543,-20043,28,40,68,41.18,28.41176470588235
2385,16426,-27276,20,22,42,47.62,54.26190476190476
2387,8550,12950,22,23,45,48.89,24.266666666666666
2388,11401,6009,31,28,59,52.54,11.23728813559322
2390,5172,-24342,20,30,50,40.0,13.3
2392,16830,25920,22,20,42,52.38,29.38095238095238
2393,20564,-9114,24,27,51,47.06,26.88235294117647
2395,42324,-205924,16,28,44,36.36,60.13636363636363
2397,13470,-68220,18,28,46,39.13,38.30434782608695
2399,6501,-12381,28,29,57,49.12,14.736842105263158
2401,7948,-53498,25,22,47,53.19,23.893617021276597
2402,8716,-18216,28,26,54,51.85,19.685185185185187
2404,21688,-11838,22,32,54,40.74,37.31481481481482
2405,6350,-26770,20,31,51,39.22,13.882352941176471
2406,7837,-38717,27,35,62,43.55,13.53225806451613
