Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'2838,,,,,2655,
'2845,,,,,5553,
'2849,,,,,232,
'2850,,,,,308,
'2851,,,,,570,
'2852,,,,,212,
'2855,,,,,1095,
'2867,,,,,6021,
'2880,,,,,19945,
'2881,,,,,16863,
'2882,,,,,23956,
'2883,,,,,60680,
'2884,,,,,40381,
'2885,,,,,22748,
'2886,,,,,25419,
'2887,,,,,30448,
'2888,,,,,132835,
'2889,,,,,3644,
'2890,,,,,21653,
'2891,,,,,45694,
'2892,,,,,20407,
'2897,,,,,6182,
'2901,,,,,110,
'2903,,,,,221,
'2904,,,,,58,
'2905,,,,,381,
'2906,,,,,4973,
'2908,,,,,162,
'2910,,,,,0,
'2911,,,,,122,
'2912,,,,,1491,
'2913,,,,,710,
'2915,,,,,3638,
'2916,,,,,56,
'2923,,,,,21,
'2924,,,,,0,
'2926,,,,,19,
'2929,,,,,206,
'2936,,,,,22,
'2937,,,,,3,
'2939,,,,,11,
'2945,,,,,23,
'2947,,,,,5,
'3002,,,,,14,
'3003,,,,,583,
'3004,,,,,62,
'3005,,,,,874,
'3006,,,,,15320,
'3008,,,,,602,
'3010,,,,,468,
'3011,,,,,5151,
'3013,,,,,98,
'3014,,,,,972,
'3015,,,,,66,
'3016,,,,,2400,
'3017,,,,,5800,
'3018,,,,,29,
'3019,,,,,772,
'3021,,,,,15,
'3022,,,,,41,
'3023,,,,,688,
'3024,,,,,381,
'3025,,,,,163,
'3026,,,,,182,
'3027,,,,,195,
'3028,,,,,459,
'3029,,,,,234,
'3030,,,,,528,
'3031,,,,,242,
'3032,,,,,28,
'3033,,,,,1438,
'3034,,,,,7217,
'3035,,,,,32144,
'3036,,,,,4147,
'3037,,,,,47221,
'3038,,,,,128,
'3040,,,,,26,
'3041,,,,,2243,
'3042,,,,,1699,
'3043,,,,,139,
'3044,,,,,430,
'3045,,,,,6240,
'3046,,,,,94,
'3047,,,,,366,
'3048,,,,,470,
'3049,,,,,3704,
'3050,,,,,633,
'3051,,,,,953,
'3052,,,,,91,
'3054,,,,,34,
'3055,,,,,76,
'3056,,,,,354,
'3057,,,,,90,
'3058,,,,,426,
'3059,,,,,1705,
'3060,,,,,360,
'3062,,,,,1394,
'3064,,,,,0,
'3066,,,,,153,
'3067,,,,,0,
'3071,,,,,140,
'3073,,,,,6,
'3078,,,,,236,
'3081,,,,,217,
'3083,,,,,217,
'3085,,,,,7,
'3086,,,,,89,
'3088,,,,,439,
'3089,,,,,117,
'3090,,,,,140,
'3092,,,,,1004,
'3093,,,,,13,
'3094,,,,,560,
'3095,,,,,21,
'3105,,,,,2885,
'3114,,,,,28,
'3115,,,,,3,
'3118,,,,,97,
'3122,,,,,1474,
'3128,,,,,80,
'3130,,,,,11,
'3131,,,,,32,
'3138,,,,,128,
'3141,,,,,5293,
'3147,,,,,15,
'3149,,,,,218,
'3152,,,,,80,
'3162,,,,,104,
'3163,,,,,235,
'3164,,,,,521,
'3167,,,,,146,
'3169,,,,,3707,
'3171,,,,,60,
'3176,,,,,231,
'3178,,,,,44,
'3188,,,,,16,
'3189,,,,,22689,
'3191,,,,,41,
'3202,,,,,163,
'3205,,,,,48,
'3206,,,,,21,
'3207,,,,,530,
'3209,,,,,674,
'3211,,,,,482,
'3213,,,,,158,
'3217,,,,,1786,
'3218,,,,,502,
'3219,,,,,7,
'3221,,,,,8352,
'3224,,,,,3277,
'3226,,,,,1,
'3227,,,,,389,
'3228,,,,,478,
'3229,,,,,31,
'3230,,,,,132,
'3231,,,,,13884,
'3232,,,,,492,
'3234,,,,,209,
'3236,,,,,52,
'3252,,,,,27,
'3257,,,,,129,
'3259,,,,,46,
'3260,,,,,1219,
'3264,,,,,1420,
'3265,,,,,13108,
'3266,,,,,240,
'3268,,,,,53,
'3272,,,,,38,
'3276,,,,,76,
'3284,,,,,29,
'3285,,,,,4,
'3287,,,,,18,
'3288,,,,,0,
'3289,,,,,49,
'3290,,,,,225,
'3293,,,,,156,
'3294,,,,,1019,
'3296,,,,,246,
'3297,,,,,41,
'3303,,,,,82,
'3305,,,,,1181,
'3306,,,,,183,
'3308,,,,,42,
'3310,,,,,18,
'3311,,,,,13,
'3312,,,,,438,
'3313,,,,,568,
'3317,,,,,439,
'3321,,,,,203,
'3322,,,,,533,
'3323,,,,,135,
'3324,,,,,1144,
'3325,,,,,147,
'3332,,,,,25,
'3338,,,,,250,
'3339,,,,,152,
'3346,,,,,235,
'3349,,,,,30,
'3354,,,,,241,
'3356,,,,,1721,
'3357,,,,,123,
'3360,,,,,210,
'3362,,,,,223,
'3363,,,,,268,
'3372,,,,,322,
'3373,,,,,175,
'3374,,,,,12251,
'3376,,,,,306,
'3379,,,,,40,
'3380,,,,,770,
'3383,,,,,62,
'3388,,,,,17,
'3390,,,,,131,
'3402,,,,,212,
'3406,,,,,1451,
'3413,,,,,422,
'3416,,,,,56,
'3419,,,,,514,
'3426,,,,,2,
'3432,,,,,1,
'3434,,,,,921,
'3437,,,,,416,
'3438,,,,,95,
'3441,,,,,40,
'3443,,,,,1924,
'3444,,,,,191,
'3450,,,,,197,
'3454,,,,,171,
'3455,,,,,313,
'3465,,,,,19,
'3466,,,,,129,
'3479,,,,,419,
'3481,,,,,165265,
'3483,,,,,323,
'3484,,,,,285,
'3489,,,,,137,
'3490,,,,,156,
'3491,,,,,3971,
'3492,,,,,18,
'3494,,,,,88,
'3498,,,,,16,
'3499,,,,,202,
'3501,,,,,51,
'3504,,,,,652,
'3508,,,,,1783,
'3511,,,,,640,
'3512,,,,,56,
'3515,,,,,512,
'3516,,,,,18,
'3518,,,,,77,
'3520,,,,,77,
'3521,,,,,7,
'3522,,,,,117,
'3523,,,,,122,
'3526,,,,,414,
'3527,,,,,537,
'3528,,,,,5,
'3529,,,,,1973,
'3530,,,,,1569,
'3531,,,,,0,
'3532,,,,,10358,
'3533,,,,,403,
'3535,,,,,472,
'3536,,,,,24,
'3537,,,,,145,
'3540,,,,,84,
'3541,,,,,92,
'3543,,,,,3,
'3545,,,,,5454,
'3546,,,,,115,
'3548,,,,,394,
'3550,,,,,276,
'3551,,,,,83,
'3552,,,,,2469,
'3555,,,,,1,
'3556,,,,,203,
'3557,,,,,13,
'3558,,,,,24177,
'3563,,,,,92,
'3564,,,,,110,
'3567,,,,,79,
'3570,,,,,47,
'3576,,,,,5986,
'3577,,,,,67,
'3580,,,,,124,
'3581,,,,,6,
'3583,,,,,474,
'3587,,,,,409,
'3588,,,,,1107,
'3591,,,,,372,
'3592,,,,,396,
'3593,,,,,658,
'3594,,,,,97,
'3596,,,,,10997,
'3597,,,,,32,
'3605,,,,,412,
'3607,,,,,181,
'3609,,,,,65,
'3611,,,,,42,
'3615,,,,,139,
'3617,,,,,53,
'3622,,,,,176,
'3623,,,,,94,
'3624,,,,,4384,
'3625,,,,,146,
'3628,,,,,776,
'3629,,,,,14,
'3630,,,,,203,
'3631,,,,,16,
'3632,,,,,8,
'3642,,,,,38,
'3645,,,,,2052,
'3646,,,,,12,
'3652,,,,,9,
'3653,,,,,1451,
'3661,,,,,4825,
'3663,,,,,74,
'3664,,,,,307,
'3665,,,,,784,
'3666,,,,,28,
'3669,,,,,1507,
'3672,,,,,100,
'3673,,,,,885,
'3675,,,,,5489,
'3679,,,,,15,
'3680,,,,,263,
'3682,,,,,46186,
'3684,,,,,3,
'3685,,,,,66,
'3686,,,,,523,
'3687,,,,,616,
'3689,,,,,448,
'3691,,,,,252,
'3693,,,,,44,
'3694,,,,,86,
'3701,,,,,1764,
'3702,,,,,3792,
'3703,,,,,1253,
'3704,,,,,1899,
'3705,,,,,137,
'3706,,,,,1060,
'3707,,,,,12993,
'3708,,,,,16334,
'3709,,,,,46,
'3710,,,,,1917,
'3711,,,,,16503,
'3712,,,,,10067,
'3713,,,,,62,
'3714,,,,,6770,
'4102,,,,,3503,
'4104,,,,,1173,
'4105,,,,,1109,
'4106,,,,,2419,
'4107,,,,,61,
'4108,,,,,261,
'4109,,,,,1791,
'4111,,,,,226,
'4113,,,,,97,
'4114,,,,,2090,
'4116,,,,,1204,
'4119,,,,,197,
'4120,,,,,7,
'4121,,,,,69550,
'4123,,,,,532,
'4126,,,,,50,
'4127,,,,,3651,
'4128,,,,,1334,
'4129,,,,,622,
'4130,,,,,1210,
'4131,,,,,2,
'4133,,,,,1219,
'4137,,,,,94,
'4138,,,,,19,
'4139,,,,,62,
'4142,,,,,4593,
'4147,,,,,1121,
'4148,,,,,1173,
'4153,,,,,172,
'4154,,,,,3,
'4155,,,,,327,
'4157,,,,,1939,
