代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1589,14946,59034,16,13,29,55.17,0.02231034482758621,25.310344827586206
1590,153598,30432,28,43,71,39.44,-0.00654788732394366,21.014084507042252
1597,15995,73995,16,15,31,51.61,0.018570967741935486,29.903225806451612
1598,4626,31044,7,5,12,58.33,0.038049999999999994,36.75
1603,3911,-1891,22,31,53,41.51,-0.008707547169811322,27.71698113207547
1604,1434,-2424,9,14,23,39.13,-0.012978260869565222,49.26086956521739
1605,5266,-926,27,30,57,47.37,0.007703508771929826,27.31578947368421
1608,3938,-15168,16,33,49,32.65,-0.02134489795918367,26.102040816326532
1609,3714,2906,20,22,42,47.62,0.0007261904761904762,23.928571428571427
1611,4437,653,20,27,47,42.55,0.00285957446808511,22.893617021276597
1612,4219,1301,19,23,42,45.24,-0.0024833333333333313,20.952380952380953
1614,3500,-170,9,12,21,42.86,0.0014380952380952394,28.095238095238095
1615,3642,-7002,14,26,40,35.0,-0.014029999999999997,27.7
1616,2504,4296,21,17,38,55.26,0.017249999999999998,34.44736842105263
1617,1653,-8693,6,15,21,28.57,-0.04306666666666666,39.666666666666664
1618,3140,14170,17,18,35,48.57,0.012197142857142861,32.0
1626,4450,-36140,5,18,23,21.74,-0.03801739130434783,36.34782608695652
1701,4046,-4346,16,22,38,42.11,-0.0068868421052631565,31.263157894736842
1702,8909,-7689,28,28,56,50.0,0.0026321428571428576,18.517857142857142
1707,20121,-10231,16,20,36,44.44,0.003513888888888892,25.694444444444443
1708,6543,-32663,12,21,33,36.36,-0.018469696969696976,36.39393939393939
1709,1995,3035,10,11,21,47.62,0.008733333333333333,23.857142857142858
1710,9739,361,21,37,58,36.21,-0.005362068965517242,17.75862068965517
1711,6568,12282,28,26,54,51.85,0.011035185185185188,23.685185185185187
1712,2225,-9345,7,16,23,30.43,-0.018778260869565216,56.17391304347826
1713,2145,-115,12,15,27,44.44,-0.006314814814814816,34.666666666666664
1714,2428,1862,14,19,33,42.42,0.0007424242424242435,39.27272727272727
1717,5768,-39128,9,20,29,31.03,-0.027789655172413788,23.93103448275862
1718,4414,-16144,17,42,59,28.81,-0.029788135593220338,22.45762711864407
1720,5989,20281,16,16,32,50.0,0.017259375,29.21875
1721,3669,431,21,30,51,41.18,-0.010470588235294113,30.666666666666668
1722,14301,-35221,9,29,38,23.68,-0.03215789473684211,23.894736842105264
1723,11349,-27839,8,12,20,40.0,-0.007440000000000004,37.15
1725,4044,116,11,21,32,34.38,-0.0044031250000000025,47.25
1726,2076,5154,4,3,7,57.14,0.014728571428571424,64.85714285714286
1727,5310,4160,17,26,43,39.53,-0.010688372093023256,24.11627906976744
1730,1913,-5063,6,10,16,37.5,-0.018674999999999997,56.1875
1731,4661,169,22,30,52,42.31,0.000771153846153845,17.71153846153846
1732,5511,-1821,21,25,46,45.65,0.002639130434782608,23.869565217391305
1733,7369,-2919,14,16,30,46.67,-0.006886666666666667,21.833333333333332
1734,6805,26925,21,19,40,52.5,0.017595,30.825
1735,1552,-1622,8,10,18,44.44,-0.0034888888888888895,34.5
1736,30594,-15214,30,38,68,44.12,-0.0014308823529411725,21.352941176470587
1737,3511,10549,13,11,24,54.17,0.0168625,22.0
1760,0,0,0,0,0,0.0,,
1762,7599,-20389,9,18,27,33.33,-0.020662962962962966,27.85185185185185
1773,7177,-44017,5,12,17,29.41,-0.027964705882352944,21.88235294117647
1776,611,-1791,2,3,5,40.0,-0.022920000000000003,11.0
1783,6479,-3399,16,16,32,50.0,0.005896874999999999,24.8125
1786,8207,-86247,4,16,20,20.0,-0.05857499999999999,18.4
1789,6770,-20130,10,17,27,37.04,-0.013981481481481484,19.074074074074073
1795,26856,3284,22,35,57,38.6,-0.00555614035087719,21.68421052631579
1802,7039,-26989,16,31,47,34.04,-0.021236170212765956,27.97872340425532
1805,3390,-700,22,30,52,42.31,-0.014055769230769236,18.192307692307693
1806,4756,-4046,28,30,58,48.28,0.002617241379310347,21.482758620689655
1808,3816,4264,13,11,24,54.17,0.019987500000000002,34.0
1809,4574,-12724,20,34,54,37.04,-0.021583333333333333,26.01851851851852
1810,3536,-1436,21,28,49,42.86,-0.0061673469387755085,24.040816326530614
1817,212,-2442,0,1,1,0.0,-0.0685,28.0
1903,16292,-17912,27,28,55,49.09,0.005818181818181823,21.927272727272726
1904,2572,-8242,10,18,28,35.71,-0.018160714285714287,21.928571428571427
1905,4418,-10358,19,26,45,42.22,-0.011342222222222219,21.955555555555556
1906,4025,-18785,16,37,53,30.19,-0.0371377358490566,27.0188679245283
