symbol,datetime,NaOb_r,NbOa_r,NaOb_s,NbOa_s,bid1,ask1,odd_bid1,odd_ask11,bidQty1,askQty1,odd_bidQty1,odd_ask1Qty1,triggerbyOdd
2615,2022-10-21 10:17:55.439996,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,71.0,3384.0,198.0,False
2615,2022-10-21 10:17:56.563774,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,False
2615,2022-10-21 10:17:57.531243,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,False
2615,2022-10-21 10:17:58.516896,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,78.0,3384.0,198.0,False
2615,2022-10-21 10:17:58.644034,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,False
2615,2022-10-21 10:17:58.892774,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,True
2615,2022-10-21 10:18:02.075684,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,False
2615,2022-10-21 10:18:02.374948,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,76.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.099583,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,18.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.108641,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,14.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.701617,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,13.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.738053,-0.004437869822485174,0.0,-0.29999999999999716,0.0,67.4,67.6,67.3,67.4,28.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.745846,-0.004437869822485174,0.0,-0.29999999999999716,0.0,67.4,67.6,67.3,67.4,28.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:03.843656,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,2.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:04.632026,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,3.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:05.043676,-0.004437869822485174,0.0014836795252224366,-0.29999999999999716,0.09999999999999432,67.5,67.6,67.3,67.4,3.0,101.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.153681,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,2.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.185947,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,3.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.487181,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,3.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.524439,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,4.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.806539,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,4.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.904929,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,4.0,3384.0,198.0,False
2615,2022-10-21 10:18:06.977432,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:08.281415,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:08.484263,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:08.919070,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,True
2615,2022-10-21 10:18:09.130946,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:09.548491,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:09.890266,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:10.003622,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:10.888339,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,5.0,3384.0,198.0,False
2615,2022-10-21 10:18:11.424733,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,19.0,3384.0,198.0,False
