Date,Method,Tickers
2020-11-18,TOWERWithMACD_EMA23,"['2038', '3114', '1525', '2613', '1312', '2033', '2425', '2349', '2606', '4755', '5464']"
2020-11-18,TOWERWithMACD_EMA67,"['2038', '3059', '3323', '1525', '2613', '6229', '1312', '2033', '2355', '2425', '2349', '2606', '4755', '5464']"
2020-11-18,TOWERWithMACD_EMA67_23,"['1525', '2033', '1312', '2425', '2038', '2613', '4755', '5464', '2606', '2349']"
2020-11-18,VolumeWithMACD,"['4114', '3622', '2439', '2497', '6292', '1777', '3221', '5278', '4147', '4972', '0050', '6229', '1597', '2754', '8088', '3455', '6462', '4130', '6213', '6508', '3557', '6209', '9933', '00787B', '6104', '6180', '6516', '3546', '3666', '2425', '2606', '5230', '3491', '4961', '5386', '6426', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '4721', '3609', '6276', '2436']"
2020-11-18,VolumeWithMACD_EMA67_23,"['3622', '2497', '6292', '5278', '0050', '8088', '3455', '6213', '3557', '9933', '6104', '3666', '2425', '2606', '5230', '4961', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '3609', '6276', '2436']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL5,"['3622', '6292', '5278', '0050', '8088', '6213', '3557', '6104', '2425', '2606', '5230', '4961', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '3609', '6276']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL5_67,"['6213', '2723', '2732', '6276', '5278', '3557', '2206', '5230', '8088', '3356', '3622', '2425', '4946', '0050', '2328', '2727', '2606']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL67,"['3622', '2497', '5278', '0050', '8088', '6213', '3557', '3666', '2425', '2606', '5230', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '6276']"
2020-11-19,TOWERWithMACD,"['3481', '3653', '4142', '8928', '5355', '00669R', '5285', '9105', '911608', '2417', '6690', '1752', '00674R', '912000', '9110', '6188', '3205', '3060', '4133', '8478', '5474', '6126', '3533', '4141', '1526', '6283', '3078', '6649', '4726', '2457', '6492', '912398', '4510', '3669', '5302', '1519', '6154', '3041', '1539', '911622', '5258', '6443', '00648R']"
2020-11-19,TOWERWithMACD_EMA23,"['5285', '00674R', '6188', '3078', '2457', '3041']"
2020-11-19,TOWERWithMACD_EMA67,"['5285', '00674R', '6188', '8478', '1526', '6283', '3078', '2457', '6492', '4510', '1519', '3041', '6443']"
2020-11-19,TOWERWithMACD_EMA67_23,"['00674R', '6188', '5285', '2457', '3078', '3041']"
2020-11-19,VolumeWithMACD,"['4129', '4142', '4927', '5220', '2328', '3594', '3679', '2377', '00793B', '6150', '4991', '6180', '3704', '3380', '8437', '3010', '3455', '3205', '2376', '3441', '6462', '2338', '3259', '3437', '6612', '8931', '1796', '3363', '6576', '4139', '00788B', '8027', '6229', '5386', '3557', '1589', '3537', '4961', '1777']"
2020-11-19,VolumeWithMACD_EMA67_23,"['4129', '2328', '3679', '6150', '3380', '8437', '3010', '3455', '6462', '2338', '3259', '3437', '8931', '8027', '5386', '3557', '4961']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL5,"['4129', '2328', '3679', '3380', '3010', '3455', '6462', '8931', '8027', '5386', '3557', '4961']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL5_67,"['3455', '6462', '4129', '5386', '8931', '3380', '4961', '2328', '3557', '3010', '8027', '3679']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL67,"['4129', '2328', '3679', '6150', '3380', '3010', '3455', '6462', '2338', '3259', '8931', '8027', '5386', '3557', '4961']"
